raw,processed,label
"PPKM di mulai hari ini tetap patuhi Prokes dan tetap jaga imun tubuh perbanyak olah raga 😁

- perbanyak minum air putih
- madu
- jangan begadang
- makan teratur
-  istirahat cukup
- jaga jarak
- jauhi kerumunan
- pacaran ( 🤣🤣🤣🤣 gw jomblo cukkk )",mulai hari tetap patuhi prokes tetap jaga imun tubuh perbanyak olah raga perbanyak minum air putih madu begadang makan teratur istirahat cukup jaga jarak jauhi kerumunan pacaran tidak punya pacar cuk,2
PPKM darurat hari pertama diisi dengan pengumuman kematian.,darurat hari pertama diisi pengumuman kematian,0
Hah? Di las vegas dah bisa party lagi? Ga ada ppkm gitu? Ntaps https://t.co/XB0slL6MgT,hah las vegas party ntaps,1
"Happy weekend moots, inget ppkm mulai hari ini ya. Lebih baik dirumah dulu😌😌😌",bahagia weekend moots ingat mulai hari iya baik dirumah,2
When ppkm sudah berlaku fisik dipaksa kerja. Sehat sehat badan☺️ https://t.co/ETh7wYLODf,when berlaku fisik dipaksa kerja sehat sehat badan,1
"@inferiority_PD @mouldie_sep ppkm tidak berlaku utk atasanku 👍
tetap who+weekend+lembur 👍",berlaku untuk atasanku tetap who weekend lembur,0
"Lari di pagi hari dan melihat aktivitas masyarakat jakarta pada saat PPKM mikro Darurat, ku lihat dari kalangan pemuda yang baru saja kembali ke rumahnya, ada juga yang ingin mengantarkan bundanya entah kemana dan pemuda yang sehat ialah tak pernah bosan untuk berolahraga.",lari pagi hari melihat aktivitas masyarakat jakarta mikro darurat ku lihat kalangan pemuda baru kembali rumahnya mengantarkan bundanya tidak tahu kemana pemuda sehat bosan untuk berolahraga,2
"Mumpung sabtu dan ppkm, mari kita kodya tour lagi",sabtu mari kota madya tour,2
Blum bisa Comeback Stream gara2 PPKM... Sorry harus terulang lagi seperti tahun lalu. 😭,comeback stream gara maaf terulang tahun,0
"PPKM = Pak Presiden, Kok Mencla Mencle??",pak presiden mencla mencle,0
Welcum PPKM Diperketat. Semoga kasus kopit cepat turun drastis,welcum diperketat semoga kasus kopit cepat turun drastis,2
"Bisnis tanpa etika ya seperti ini. Saya sepakat bahwa pandemi #covid19 membuka opportunity bisnis, seperti ekspansi contactless economy. Mereka malah banyak membantu kita di saat PPKM. Ivermectin? Tolong ikuti guideline WHO kalau mau bisnis ya! 🥲 https://t.co/Blor4hVPfS",bisnis etika iya sepakat pandemi membuka opportunity bisnis ekspansi contactle economy membantu ivermectin tolong ikuti guideline who bisnis iya,0
Tetep semangat buat rekan-rekan yang terkena dampak PPKM DARURAT.,tetap semangat rekan rekan terkena dampak darurat,2
Hari ini PPKM diterapkan dan dimulai di seluruh wilayah Indonesia. Mdh2an dngn Diterapkan nya PPKM bisa Me ngurangi Penyebaran Covid-19 di Masyarakat. Alhamdulillah hari ini cek up dr Jantung jam 6 pagi Sudah nunggu dr di RS Hermina. Hasil Swab - PCR Alhamdulillah NEGATIV👍🤲🙏 https://t.co/gAjhd2feeK,hari diterapkan dimulai wilayah indonesia mdh an diterapkan nya me ngurangi penyebaran covid masyarakat alhamdulillah hari cek up jantung jam pagi menunggu rs hermina hasil swab pcr alhamdulillah negativ,2
"Gila perusahaan doi mau psbb ppkm ppkm darurat aturan segala rupa dikasih dr pemerintah ga bikin goyah, tetep masuk ga ada perubahan jam atau apapun. Ko bisa bisanya",gila perusahaan doi psbb darurat aturan rupa dikasih pemerintah goyah tetap masuk perubahan jam apapun bisanya,0
"PPKM ..
Tidak berlaku di bandara dan pelabuhan ?

Benarkah ?

Ach pintu virus pun tetap terbuka ,sungguh 
Pak Presiden Kurang Marwah 😂😂",berlaku bandara pelabuhan benarkah ach pintu virus tetap terbuka sungguh pak presiden kurang marwah,0
"Dan salah satu Habib di deket rumah hari ini ngadain hajatan, tepat di waktu PPKM dimulai, tolol emang kesel! Awas aja kalau ga ditindak satgas covid!!",salah satu habib rumah hari mengadakan hajatan tepat waktu dimulai tolol kesal awas ditindak satgas covid,0
@fahmidore Tau ga ada yg mikir kalo peraturan ppkm darurat ga berlaku di jepara krn yg di pamflet/brosur yg daftar kota itu jepara ga tertera disitu🤣 trus aku bilang ya ttp berlaku cuma jeparany aja ga diakuin kota🤭,tahu mikir peraturan darurat berlaku jepara pamflet brosur daftar kota jepara tertera disitu terus bilang iya tetap berlaku jeparany diakuin kota,1
"Baru pulanh ngajakin si bulu jalan pagi. Si ipas berhenti gara2 denger kucing tetangga yg di kandang. Kasian banget mereka di kandang terus ga pernah jalan-jalan. Eh tapi hari kan manusia juga di kandang, ya.. PPKM wkwk https://t.co/k4lVW2IMri",baru pulanh ngajakin sih bulu jalan pagi sih ipas berhenti gara dengar kucing tetangga kandang kasihan banget kandang terus jalan jalan eh hari manusia kandang iya wkwk,0
"@CommuterLine halo admin, mau tanya, jadwal comm jabodetabek terbaru ppkm darurat bisa diliat dimana ya?",halo admin tanya jadwal comm jabodetabek terbaru darurat dilihat dimana iya,1
"Hay min @e100ss untuk ppkm hari ini kondisi nya gimana? Apakah ada penyekatan untuk masuk surabaya, plis bagi info 🥺🥺🥺 Senin kerja soal nya",hai min untuk hari kondisi nya penyekatan untuk masuk surabaya plis informasi senin kerja soal nya,1
"Pagii !
Udah balik tidur lagi aja.

PPKM Darurat apa kabarnya !? ~",pagii balik tidur darurat kabarnya,1
"___""buah jatuh tak jauh de  pohonya"" atau mungkin punya pikiran _SOLO itu tdk di P.JAWA_ bagaimana tindakan POLRI ?..berani nggak ..

Gibran Rakabuming Izinkan Mall Tetap Buka Saat PPKM Darurat, Abdillah Toha: Bagaimana ini Anak Presiden Kita? - Gala Jabar https://t.co/wlXIZfzjgX",buah jatuh jauh deh pohonya punya pikiran solo jawa tindakan polri berani gibran rakabuming izinkan mall tetap buka darurat abdillah toha anak presiden gala jabar,0
"Hari ini, hari pertama PPKM ya? Buat kalian yang masih beraktivitas di luar, Hati-Hati di jalan ya, patuhi protokol kesehatan dan selalu pakai masker, supaya kamu terhindar dari virus. 😊 luv https://t.co/luSCcSYxGJ",hari hari pertama iya beraktivitas luar hati hati jalan iya patuhi protokol kesehatan pakai masker terhindar virus luv,2
@FWBESS Hadeuh saya yg pengawas ppkm aja pusing ngeri kena:(,aduh pengawas pusing ngeri kena,0
"happy weekend manteman, jangan lupa dah mulai PPKM 👍🏻 https://t.co/sTmbYbRAq8",bahagia weekend manteman lupa mulai,1
"PPKM Kota Malang

@infomalang https://t.co/gfJaxHGdpF",kota malang,1
"Kadang suka mikir ,
Kok yang banyak kena covid tuh beritanya pulau Jawa doang yahh
Dan yang diberlakukan PPKM cuma Jawa dan Bali
Apa tuh virus sukanya cuma di jawa Bali doang yahh",kadang suka mikir kena covid beritanya pulau jawa doang ya diberlakukan jawa bali virus sukanya jawa bali doang ya,0
Tidak boleh ada satu warga pun yang tidak terjamin kebutuhan hidup nya selama PPKM darurat dilaksanakan... https://t.co/8V7GXwQGI8,satu warga terjamin kebutuhan hidup nya darurat dilaksanakan,2
@ridwankamil Mudah mudahan dengan adanya ppkm corona cepat ilang Aamiin,mudah mudahan corona cepat hilang amin,2
"@RieGucciano PPKM - Pagi...Pagi...Kopi...Morning 
🤣",pagi pagi kopi morning,1
"PPKM

PaPnya dong Kakak Manis,,

@L_MarshaJKT48",papnya kakak manis,1
PPKM tapi mas bayu masih masuk terus. gurunya pun disuruh tetap masuk. katanya kalau gak masuk sekolahnya rugi dan ga bisa gaji guru gurunya :'),mas bayu masuk terus gurunya disuruh tetap masuk katanya masuk sekolahnya rugi gaji guru gurunya,0
"Untuk pengguna tol dalam kota, bisa si perhatikan titik mana saja yg exit nya di tutup selama masa PPKM. Jadi bisa di ancang2 mau lewat tol atau arteri. https://t.co/QsrBuNnxn6",untuk pengguna tol kota sih perhatikan titik exit nya tutup masa jadi ancang lewat tol arteri,1
"Apa itu PPKM, ditempatku kalau belum tumbang ya wajib mangkat hahah",ditempatku tumbang iya wajib mangkat hahah,0
@alterhome18 Ga kena ppkm po?,kena po,1
"Selamat pagi semuanya.
Semangat ya PPKM",selamat pagi semangat iya,2
"Ppkm kepanjangan dari pengen peluk kamu mas, bener ga syg?",kepanjangan peluk mas benar sayang,1
@PRFMnews min infonya klo di kota bandung ada penyekatan Jalan dimana aja? Klo sepedahan di bandung boleh kah lg ppkm darurat skrg?,min infonya kota bandung penyekatan jalan dimana sepedahan bandung kah darurat,1
"Itu hubungan atau PPKM?
Kok banyak penyekatan 🤭",hubungan penyekatan,1
"Teman - teman twiip yang baik hati
Ikuti aturan pemerintah 
Jalani prokes &amp; Jalani aturan PPKM",teman teman twiip baik hati ikuti aturan pemerintah jalani prokes amp jalani aturan,2
"Baru inget ppkm skrng yaa, kolam renanh tutup deng",baru ingat ya kolam renanh tutup deng,1
@FWBESS Tahannn tahann ppkm,tahan tahann,1
@Baracuda1818 @Aryprasetyo85 @WSuparmo @03__nakula @DonjuanX8 @DS_yantie @Minietweets2 @vita_AVP @HeryIdris3 Paling tdk nanti diberhentikan sementara dulu..karena membandel dalam PPKM Darurat,diberhentikan membandel darurat,0
@RonnyYulianto7 @RerCrown @Wan9Wong213 @BatuKepla @kadrunhunter21 @trewellu @govindajaya4 @sungganteng @AyamSegar3 Pagi kawan ku yg termasuk golongan pengusaha essential yg di bebaskan dlm PPKM Darurat sbg penyelamat bangsa2 wanita,pagi kawan ku termasuk golongan pengusaha e ential bebaskan darurat penyelamat bangsa wanita,1
"Selamat pagi warga Twitter 
Sehat selalu semua... 
Ya Tuhan... 
Semoga di hari pertama PPKM Kota Malang,  ENGKAU beri kemudahan 
Buat Ojol MAXIM Q. 
man Teman Mohon bantuan doanya, 
Semoga kita semua baik2 saja. 
Amin..... 🙏🙏 https://t.co/6cLQlEkteL",selamat pagi warga twitter sehat iya tuhan semoga hari pertama kota malang engkau beri kemudahan ojol maxim laki-laki dewasa teman mohon bantuan doanya semoga baik amin,2
Owh mungkin karena alun2 tidak termasuk fasilitas umum jadi tidak di tutup seperti aturan PPKM darurat. 😂🤣 https://t.co/aCAZ3hPjx4,oh alun termasuk fasilitas umum jadi tutup aturan darurat,0
"PPKM Darurat berlaku di Banten juga, kan? Kenapa masjid-masjid di sini (Sarua Indah) masih melaksanakan salat Subuh berjamaah? https://t.co/QomrpDtGVn",darurat berlaku banten masjid masjid sarua indah melaksanakan salat subuh berjamaah,1
"PPKM  ala Andrie 

Pasti Pemerintah Kurang Mengayomi 

Perlu Peraturan Kurangi Melanggar",ala andrie pemerintah kurang mengayomi perlu peraturan kurangi melanggar,0
"Dulu saya suka sama PPKM, Bahasa Indonesia, olahraga, sosiologi, geografi, pokoknya anti matematika 😌",suka bahasa indonesia olahraga sosiologi geografi pokoknya anti matematika,1
"PPKM, ya baca Al-Quran sajaa",iya baca al quran sajaa,1
"PPKM Darurat di Bali, Tempat Wisata Ditutup, WNA “Ngeyel” Dideportasi https://t.co/kdhfQlnLFJ",darurat bali tempat wisata ditutup wna ngeyel dideportasi,0
"@undipmenfess Kemaren sebelum ppkm gaada, gatau kalo sekarang",kemarin tidak ada enggak tau,1
"ini ppkm beneran ta? lotte tutup gak ya, mau belanja bulanan oe",benaran ta lotte tutup iya belanja bulanan oe,1
"PPKM Darurat Hari pertama, Aktivitas di Pasar masih seperti biasa
Ya pada akhirnya rezim ini cuma bisa ganti akronim doang",darurat hari pertama aktivitas pasar iya rezim ganti akronim doang,0
"hari pertama PPKM mikro, kerja 😑 https://t.co/kWZkpYqiKX",hari pertama mikro kerja,0
kepending gara2 ppkm bangsat dahhh,kepending gara bangsat,0
"@SiaranBolaLive Pertandingan batal, krn lg ppkm kecamatan,berani lawan...hubungi opung",pertandingan batal kecamatan berani lawan hubungi opung,0
ppkm tai ucing geus weh lockdown tp rakyatnya dikasi makan ulah dianggurin wae.,tahi ucing geus weh lockdown rakyatnya dikasi makan ulah dianggurin wae,0
@CommuterLine ini berlaku selama ppkm min?,berlaku min,1
"Work! Semangat yang masih harus pergi ke kantor saat PPKM, perasaan semalam sampai kos jam 10 malam karena split. Pagi ini berangkat lagi :'( Sehat-sehat semuanya 🤍",work semangat pergi kantor perasaan semalam kos jam malam split pagi berangkat sehat sehat,2
"Work! Siapa yang wfo setelah ppkm berlaku?

Me 😂😭",work wfo berlaku me,1
"PPKM darurat itu gak cuma bisa ancam... 
1. Hak warga negara juga harus dipenuhi.
2. Warga negara asing harus dihentikan arus masuknya.
Cukupkan kelakuan bangsat seperti ini...",darurat ancam hak warga negara dipenuhi warga negara asing dihentikan arus masuknya cukupkan kelakuan bangsat,0
"@NenkMonica Ya wajarlah yg jd komanfan PPKM kan Luhut dia Kafir, Pastilah masjid di tutup, COVID MAKHLUK ALLAH, TAKUT SAMA ALLAH BUKAN SAMA COVID",iya wajarlah jadi komanfan luhut kafir masjid tutup covid makhluk allah takut allah covid,0
Lupa banget hari ini udah ppkm,lupa banget hari,1
"@kdramalovaaa Aku juga biasanya gt, cuma pengen beli online aja mls keluar ppkm d lg sekrang",beli onlen malas keluar,1
"Nonton berita artis di @SCTV kok gak prokes, bebas hajatan juga...lha piye?? Kita yg dikampung kena PPKM mo hajatan gak boleh, kemana2 prokes.....",menonton berita artis prokes bebas hajatan piye dikampung kena hajatan kemana prokes,0
Morning ppkm darurat! Tp masi ada kondangan asli takot banget gambling ni nyawa 😭😭😭😭,morning darurat kondangan asli takot banget gambling nyawa,0
"@ibn_maheer @NNdrae @Terompah12 Sayangnya ini hanya pendapat pribadi, bukan pendapat Lembaga, kalo pendapat lembaga ""mungkin"" Pak Wapres bisa memberikan masukan untuk pengaturan PPKM Darurat...
(""mungkin "") loh 🤭🤦‍♀️",sayangnya pendapat pribadi pendapat lembaga pendapat lembaga pak wapres memberikan masukan untuk pengaturan darurat loh,1
@salatiga_info Sayange pas ppkm darurat,sayange pas darurat,1
Min..punten mau tanya klo BEC lagi ppkm mikro buka ga?@PRFMnews,min punten tanya bec mikro buka,1
"@saifulteladan PPKM perjuangan
PPKM perjuangan sejahtera..
Semoga kebijakan ini betul2 berdampak mengurangi laju penyebaran kopid.

Aamiin.",perjuangan perjuangan sejahtera semoga kebijakan betul berdampak mengurangi laju penyebaran kopid amin,2
himbauan ppkm dilarang ini itu mbo di imbangi juga dengan anjuran kita dikasih jalan keluar ini itu juga biar seimbang.,himbauan dilarang mbo imbangi anjuran dikasih jalan keluar seimbang,0
Awali weekend dengan ppkm,awali weekend,1
@ridwankamil Kang punten pami anu varian delta eta nyebarna lewat udara atanapi antar manusia ? Pami antar manusia naha ya aya d indonesia kan indonesia mah masyarakat na di piwarang PPKM ... ?,kang punten pami anu varian delta eta nyebarna lewat udara atanapi manusia pami manusia naha iya aya indonesia indonesia mah masyarakat nya piwarang,1
@PT_Transjakarta min 7P beroperasional gak selama PPKM darurat?,min beroperasional darurat,1
Selamat pagi! Selamat menjalankan PPKM Darurat 🔥,selamat pagi selamat menjalankan darurat,2
"@mrwidj_w Haiii Mas @mrwidj_w, lagi ppkm gak kemana2 donk? Sini main2 ke hatiku, mau??? 🤣🤣🤣",hai mas kemana main hatiku,1
@KangSemproel oooow  ujung PPKM ternyata Idul Adha.. komunis bangsat...,ow ternyata idul adha komunis bangsat,0
"@bemmm__ berarti ppkm iki parah si, sampe lokal ilang kabeh",berarti iki parah sih lokal hilang kabeh,0
@hrdbacot Pen gemuk pas ppkm besok mungkin,pengen gemuk pas besok,1
Hari kedua PPKM Darurat sudah bosen yang santen-santen.,hari kedua darurat bosan santen santen,1
"Awali hari pertama PPKM mu dengan kalimat pujian:
""Hadeeuuhh 🤦""",awali hari pertama mu kalimat pujian hadeeuuhh,0
"PPKM....Hari Pertama
Cek...cek...ahhhhh",hari pertama cek cek ah,1
"Dukung Habis""an Mahasiswa !

#PenindasRakyatHarusTumbang
#PenindasRakyatHarusTumbang

Covid19: PPKM darurat, Lockdown dijadikan Senjata Ampuh utk membunuh Aktifitas Aktifitas Ekonomi Rakyat. https://t.co/sccU9IQogm",dukung habis an mahasiswa covid darurat lockdown dijadikan senjata ampuh untuk membunuh aktifitas aktifitas ekonomi rakyat,0
PPKM absen dlu minggu ini wkwkw https://t.co/HJnq1P633A,absen minggu wkwkw,1
"@Anonymous_2024 Ntar kita balas, razia Neo neo PKI setelah ppkm ini.",balas razia neo neo partai komunis indonesia,0
Mengenai kekhawatiran pelaku usaha kafe dan restoran terkait imbas dari PPKM darurat saat ini,mengenai kekhawatiran pelaku usaha kafe restoran terkait imbas darurat,0
"PPKM
Pak, Pastikan Keadaan Masyarakat 
Pak, Pastikan Kami Makan

Karena tentu banyak yg sulit untuk bertahan saat Pemberlakuan Pembatasan Kegiatan Masyarakat.",pak pastikan keadaan masyarakat pak pastikan makan sulit untuk bertahan pemberlakuan pembatasan kegiatan masyarakat,0
@kadrunhunter21 @AyamSegar3 @govindajaya4 @Mas_Parjo_ @anthwf77 @josephinebarn @IndoCora @RonnyYulianto7 @BatuKepla @RerCrown @Pakde_yan @mikuro06 @RaniKancana @Cupidlucky2 @veravhera28 @aroy_novan11 @4bby5 Kan PPKM Darurat yam 😅,darurat ya,1
"PPKM
Pernah perhatian kemudian menghilang",perhatian menghilang,1
"@Kita_AMLTF AKU PATUH PPKM DEMI INDONESIA SEHAT DAN MAJU
Lindungi diri dan keluargamu dgn patuh PROKES dan PPKM
Ingatkan juga saudara teman dan lingkunganmu utk selalu PATUH PPKM

Semoga pandemi ini cepat berlalu , Amin 🙏🙏",patuh indonesia sehat maju lindungi keluargamu patuh prokes ingatkan saudara teman lingkunganmu untuk patuh semoga pandemi cepat berlalu amin,2
"PPKM 2 minggu, dipastikan aku semakin pucet kek vampire, minggu lalu lari di pantai, kena angin + keringat, kulit langsung merah2 dan gatal ci, kata temen ""km terlalu menghayati diem di rumah, kurang berjemur""",minggu dipastikan pucet kayak vampire minggu lari pantai kena angin keringat kulit langsung merah gatal ci kata teman menghayati diam rumah kurang berjemur,0
PPKM? Ya ya ya... https://t.co/j8JmWBzyxM,iya iya iya,1
"PPKM sebenernya mempermudah orang yang mau nikah,jadi gk perlu ngeluarin biaya gede.tapi yang susah itu mau nikah cuman jodohnya belum ada.wkwk",mempermudah orang nikah jadi gak perlu mengeluarkan biaya gede susah nikah jodohnya wkwk,1
@skjinapple Sabi tpi ppkm dijogja nih,sabi dijogja,1
Namanya PPKM Darurat atau apalah namanya akan berhasil jika rakyat disiplin dan petugasnya tegas. Tanpa hal itu.....preeettttt.,namanya darurat apalah namanya berhasil rakyat disiplin petugasnya tegas pret,0
"@Kita_AMLTF AKU PATUHI PPKM DEMI INDONESIA SEHAT DAN MAJU

Stay safe, masker jangan kendor dan selalu patuhi prokes 5M
@Yatisujana5 
@SriPuji00014107 
@Erna_Sari971 

Semoga Indonesia segera pulih dari pandemi ini 🤲",patuhi indonesia sehat maju tinggal safe masker kendor patuhi prokes semoga indonesia pulih pandemi,2
jengkel ketika ada temen2 masih aja nongkrong disaat ppkm darurat gini. mbok ya uteknya dipakek gitu. kena covid nanti nanges.,jengkel teman nongkrong disaat darurat mbok iya uteknya dipakek kena covid nanges,0
"@AnwarPudagafc Nahitu,makanya kalo sudirman mah dari dulu emang paling tertib kalo model PSBB ato PPKM gini,coba minggiran dikit 😀",nahitu sudirman mah tertib model psbb coba minggiran dikit,2
Berolahraga di tempat keramaian merupakan salah satu poin yang dilarang selama PPKM Darurat karena berpotensi memicu kerumunan.,berolahraga tempat keramaian salah satu poin dilarang darurat berpotensi memicu kerumunan,1
"Untuk menambah imun ayoo sempetin goes - goes tapi , ingat ikuti PPKM https://t.co/TOqpPWXdxO",untuk menambah imun ayo sempetin goes goes ingat ikuti,2
@MrRCStore1 Boleh dicoba.. seblm  kena ppkm  😄,dicoba seblm kena,1
"Ternyata gitu yah alasan Doi menghilang. Karena pemerintah berlakukan PPKM ""Pernah Perhatian Kemudian Menghilang""",ternyata ya alasan doi menghilang pemerintah berlakukan perhatian menghilang,1
"@AhmadBud321 @na_dirs Mall bukannya ditutup ya di PPKM Darurat ini? Yang buka cuma supermarket, toko obat, dan kebutuhan esensial lain. Coba dicek dulu",mall ditutup iya darurat buka supermarket toko obat kebutuhan esensial coba dicek,1
"@kumparan Apakah pemerintah menerapkan UU kekarantinaan untuk menerapkan PPKM Darurat saat ini, kalau pelanggaran PPKM Darurat akan diterapkan kepada para  pelanggar.",pemerintah menerapkan uu kekarantinaan untuk menerapkan darurat pelanggaran darurat diterapkan pelanggar,1
@SatyaArdyansyah dari PSBB sampai PPKM aku always menunggu you,psbb always menunggu you,1
Siap ppkm sebulan nih https://t.co/9Um5LCCnFo,siap sebulan,2
"PPKM Darurat Day 2... daripada gabut, mending dengerin Weekend Free bareng @yaelahbin dari jam 06.00-10.00 ^^",darurat hari bosan lebih baik dengarkan weekend bebas bareng-bareng jam,1
Daftar Jalan di Serang Banten yang Disekat saat PPKM Darurat https://t.co/mQqqNnQjN1,daftar jalan serang banten disekat darurat,1
"Sepi ya, gara gara PPKM? https://t.co/eEAm7hTlxf",sepi iya gara gara,1
"PPKM Darurat, Lockdown Tapi Rakyat Yang Nanggung Biayanya | PORTAL ISLAM https://t.co/ut31STSbEV",darurat lockdown rakyat nanggung biayanya portal islam,0
PPKM : Photo Pidio Kembali Mumet,photo pidio kembali pusing,0
"Good morning, apa aktivitas pagi kamu di hari kedua ppkm?",good morning aktivitas pagi hari kedua,1
"/kle PPKM hari kedua sudah banyak yg menawarkan catering siap antar biar tidak keluar rumah, tapi satupun belum ada yg menawarkan cara mendapatkan uang tanpa keluar rumah.",kle hari kedua menawarkan catering siap keluar rumah satupun menawarkan cara mendapatkan uang keluar rumah,0
Ppkm 100% masok yok,masok yuk,2
"Jangan dilepas pakai materai dng mudahnya pak.
Bawa snjta tajam itu aja udah melanggar psl 2 ayat (1) UU Drt. No. 12/1951. Mksml 10 th kurungan tuh pak. Apalagi lg ppkm gini, jelas mau bikin onar itu. https://t.co/6sMb9UWCfn",dilepas pakai materai mudahnya pak bawa snjta tajam melanggar psl ayat uu no mksml tahun kurungan pak jelas onar,0
"Day-2 PPKM :
Masak mie pake telor, saat mau niriskan malah telurnya jatuh :)",hari masak mie pakai telor niriskan telurnya jatuh,1
ada ppkm juga perasaan sama aja deh ._.,perasaan deh,0
"@detikcom Kan sudah dikasih tau kemarin, selama PPKM darurat dilarang gowes, koq ngeyel ya..",dikasih tahu kemarin darurat dilarang mengayuh sepeda ngeyel iya,0
"Pagi² dengar kabar duka , gw harap PPKM ini ada hasilnya jd sering bnget liat atau dengar kabar duka",pagi dengar kabar duka harap hasilnya jadi banget lihat dengar kabar duka,2
PPKM. pisang panjang kamu mau,pisang panjang,1
"Selamat Pagi.💕
Sedih deh sejak PPKM berlaku,Nee chan jd gk bisa beli bahan u/ berkarya lagi.Maaf jd terhalang 🙏
Mohon tunggu dgn sabar,Nee chan pasti kembali berkarya u/teman2. 
Tetap smangat dlm berkarya y u/ teman2 Vtuber.Nee chan slalu mendukung kalian.Tolg jaga kesehatan y.",selamat pagi sedih deh berlaku chan jadi gak beli bahan berkarya maaf jadi terhalang mohon tunggu sabar chan kembali berkarya teman tetap semangat berkarya teman vtuber chan mendukung tolg jaga kesehatan,2
kenapa males banget skincarean pas isolasi sama ppkm gini,malas banget skincarean pas isolasi,1
"Jujur gw uda ga kluar rumah mgkn 2 bulan menuju 3 bulan… uda ada plan pengen makan diluar dr 2 minggu lalu tp kehalang kerjaan, tp skrg ppkm 😭😭",jujur keluar rumah bulan menuju bulan plan makan diluar minggu kehalang pekerjaan,0
@Kita_AMLTF AKU PATUH PPKM DEMI INDONESIA SEHAT DAN MAJU,patuh indonesia sehat maju,2
@jiyeseung Next week?? Mumping lagi ppkm banyak yg wfh hahaha,lanjut wig mumping wfh hahaha,1
"iisip ppkm juga kek libur aja gitu gausa daring daringan, cape gua pusing mana tugas bikin vidio mulu, mana ngambil stockshootnya ribet sono sini di sekat, ga dikerjain rata rata tugas uas. 
udah smt 6 baru mikir ""apa gua salah ngambil jurusan ya?"" auah mau cemilin cet tembok aja",iisip kayak libur enggak usah online daringan lelah pusing tugas vidio terus mengambil stockshootnya ribet sono sekat dikerjain rata rata tugas uas semester baru mikir salah mengambil jurusan iya auah cemilin cet tembok,0
