,Unnamed: 0,raw,processed,label,predict
15,932,"libur 2 Minggu aja jadi 2 tahun
dan kalian masih percaya ppkm akan segera selesai?",libur minggu saja jadi tahun dan kalian masih percaya ppkm akan segera selesai,0,2
16,1779,"Udh capek² cari kerja apalagi pas keadaan PPKM gini sepi gaada yang buka loker🙃 giliran nemu loker, terus udh bikin lamaran eh ternyata yang diutamakan yang bisa fashion sama suka skincare😊

Gini banget yaa😢",udah cape cari kerja apalagi pas keadaan ppkm begini sepi tidak ada yang buka loker giliran nemu loker terus udah buat lamaran eh ternyata yang diutamakan yang bisa fashion sama suka skincare begini banget ya,0,0
17,3801,Mana segrombolnya banyak lg. Terus buat apaan ppkm ppkm begini ?!?! 😏,mana segrombolnya banyak lagi terus buat apa ppkm ppkm begini,0,0
18,571,"@BiLLRaY2019 Setau gw, ada sanksi bagi kepala daerah yg menolak penerapan PPKM diwilayahnya..",setau aku ada sanksi bagi kepala daerah yang menolak penerapan ppkm diwilayahnya,1,1
19,1400,tunggu selesai ppkm duls,tunggu selesai ppkm duls,1,1
20,2775,"No prokes.. Lg PPKM pp.. Kumpul² bakar²an.. Pny komorbid.. Ttga positif..Sok ngritik pemerintah.. Utegmu mbok gadein ng ndi sih jal..Akal nalarmu dmn pak.. Sbgai public figure hrusnya jd contoh panutannya ini malah begini.. Bny dluar sana yg berjuang bwt dptin kamar dan oxy, tapi",no prokes lagi ppkm pulang pergi kumpul bakar an punya komorbid ttga positif sok ngritik pemerintah utegmu mbok gadein ng ndi sih jal akal nalarmu dimana pak sebagai public figure harusnya jadi contoh panutannya ini bahkan begini bny diluar sana yang berjuang buat dptin kamar dan oxy tapi,0,0
21,926,PPKM memang tidak efektif. https://t.co/RPN3NeMJ78,ppkm memang tidak efektif,0,1
22,2882,"@CNNIndonesia Nama : DR.H Varian Delta (+) S.E, M.pd
Umur  : Beberapa Hari
Jenis  : (BIG FAMILY) Covid 19
TTL     : ? (UNKNOWN)
WN      : ? (UNKNOWN)

Biografi  : ""Aku adalah anak bungsu, aku lahir untuk membuat kacau suatu negara dengan menciptakan PSBB, PPKM, dll.""",nama dari varian delta pada umur beberapa hari jenis big family covid ttl unknown wn unknown biografi saya adalah anak bungsu saya lahir untuk membuat kacau suatu negara dengan menciptakan psbb ppkm dan lain-lain,0,0
23,2597,PPKM level 12 jadi patung https://t.co/dkPtsSm63G,ppkm level jadi patung,1,1
24,2723,"@plokplokslewb Mau bilang ayo kok ppkm, sini aja rumah. Ayo go food",mau bilang ayo kok ppkm sini saja rumah ayo go food,1,0
25,1044,"Cc
@jokowi
@DivHumas_Polri
@CCICPolri
@TjahjantoHadi
@Puspen_TNI
@binofficial_ri

Ada rencana aksi demo oleh HMI &amp; buruh ditengah pemerintah telah bersusah-payah tangani pandemi Covid-19.

Jangan sia-siakan PPKM terhadap masyarakat oleh aksi unfaedah!
#TolakDemoPerparahPandemi https://t.co/I8VQdhMjEC",cc ada rencana aksi demo oleh hmi amp buruh ditengah pemerintah telah bersusah payah tangani pandemi covid jangan sia siakan ppkm terhadap masyarakat oleh aksi unfaedah,2,2
26,254,"Ppkm aja bisa diperpanjang, masa hubungan kita enggak ..",ppkm saja bisa diperpanjang masa hubungan kita tidak,1,1
27,1083,"PPKM: Perbanyak sholawat, perbanyak shodaqoh, kuatkan iman dan menjauhi maksiat",ppkm perbanyak sholawat perbanyak shodaqoh kuatkan iman dan menjauhi maksiat,2,1
28,764,@Sukirno08192311 semoga pandemi segera berakhir biar ppkm juga berakhir😭,semoga pandemi segera berakhir supaya ppkm juga berakhir,1,2
29,3481,gmna PPKM di dps? mau ke kos nih~,gimana ppkm di dps mau ke kos ini,1,1
30,1875,@ekowboy2 Dan semoga pak @aniesbaswedan jg berani menindak aparat yg semena2 terhdap rakyat kecil yg lemah yg berdalih penindakan PPKM darurat di wilayahnya 🙏,dan semoga pak juga berani menindak aparat yang semena terhdap rakyat kecil yang lemah yang berdalih penindakan ppkm darurat di wilayahnya,1,0
31,3316,"PPKM darurat
Tak berarti hidupmu tamat
Hanya untuk diam sesaat
Agar kita semua selamat
-----
#kataselamat #PPKMDarurat",ppkm darurat tidak berarti hidupmu tamat hanya untuk diam sesaat agar kita semua selamat,2,2
32,844,"Hadeuh, sabar yuk besok ppkm terakhir. Moga gaada perpanjangan yg jdi hambatan lainnya",aduh sabar yuk besok ppkm terakhir moga tidak ada perpanjangan yang jadi hambatan lainnya,2,1
33,1709,"Terimakasih Pak Kandar, di tengah2 PPKM bapak &amp; istri msh mau nganterin Oksigen ke rumah. pdhl udah hampir jam 11 mlm. setiap hari Bapak hrs muter ke seluruh RS di Pekanbaru agar pasokan Oksigen ttp ada. salut..Sehat2 sllu ya pak... 🙏🙏. https://t.co/hZK5bbMcyv",terimakasih pak kandar di tengah ppkm bapak amp istri masih mau mengantarkan oksigen ke rumah padahal sudah hampir jam malam setiap hari bapak harus muter ke seluruh rs di pekanbaru agar pasokan oksigen tetap ada salut sehat selalu iya pak,2,2
34,299,"Sampai tanggal 10 Juli lah, mendukung PPKM Darurot https://t.co/Z5gBcyPs0X",sampai tanggal juli lah mendukung ppkm darurot,2,2
35,3128,Jadi cuma sampe tgl 26 ini ppkm?? Hmm..,jadi cuma sampai tanggal ini ppkm hmm,1,1
36,3555,"PPKM
Pernah Pergi Kemudian Muncul https://t.co/OCCZ0h8XNG",ppkm pernah pergi kemudian muncul,1,1
37,1480,PPKM diperpanjang ngasi koe peka,ppkm diperpanjang mengasih koe peka,1,1
38,2286,"#RedamPandemiJagaNKRI

Ayo tetap patuhi PPKM dan prokes https://t.co/cRvDkqyuGf",ayo tetap patuhi ppkm dan prokes,2,2
39,1061,"@rissalno Yes palembang juga ,ppkm pun diperketat ..tetap jaga kesehatan bro ..",yes palembang juga ppkm pun diperketat tetap jaga kesehatan saudara laki-laki,2,2
40,3088,Apakah saat berlaku PPKM darurat juga ada penutupan pintu masuk bagi WNA &amp; TKA China?,apakah saat berlaku ppkm darurat juga ada penutupan pintu masuk bagi wna amp tka china,0,0
41,267,"@galamedianews Tepat yang mana?
Tepat 2 tahun ?
Atau tepat PPKM, tanpa Santuni rakyat? Dan krn itu bebas TKA CHINA na terus masuk kah ?",tepat yang mana tepat tahun atau tepat ppkm tanpa santuni rakyat dan karena itu bebas tka china nya terus masuk kah,0,0
42,1842,@HanifahAndini96 Dukung PPKM Darurat,dukung ppkm darurat,2,2
43,3448,"Apa itu PPKM, ditempatku kalau belum tumbang ya wajib mangkat hahah",apa itu ppkm ditempatku kalau belum tumbang iya wajib mangkat hahah,0,1
44,1840,Ppkm belom kelar ini knp tbtb ngedadak wfo sihhhh kn bmst kesel bgt,ppkm belum kelar ini kenapa tiba-tiba ngedadak wfo sih kan bmst kesal banget,0,1
45,3408,"Tapi ingat ya, kalau nanti PPKM udah dihentikan krn kasus Covid mulai menurun, krn masih pandemi kita semua harus tetap patuhi protokol kesehatan. https://t.co/yRBiOtPwLv",tapi ingat iya kalau nanti ppkm sudah dihentikan karena kasus covid mulai menurun karena masih pandemi kita semua harus tetap patuhi protokol kesehatan,2,2
46,586,Emang paling malesin ngurus sesuatu ke cs bank apalagi ppkm gini ada kuota perhari. Jadi aku rela pergi tadi jam set.5 buat ambil nomor antrian 😭👍🏻,memang paling malesin mengurus sesuatu ke cs bank apalagi ppkm begini ada kuota perhari jadi saya rela pergi tadi jam set buat ambil nomor antrian,0,1
47,2690,Di situasi seperti ini dan di saat PPKM Darurat baiknya kita bersatu untuk saling membantu  #BersamaUntukWarga https://t.co/dyvbhOsX68,di situasi seperti ini dan di saat ppkm darurat sebaiknya kita bersatu untuk saling membantu,2,2
48,3282,"PPKM diperpanjang aja trs pusing sm PR Dp Dp kleaannn🥺 #ExpoSurabaya #expojakpus #ExpoJAKSEL 

Mohon bersabar:’)",ppkm diperpanjang saja terus pusing sama pr dp dp kleaan mohon bersabar,0,0
49,2524,"KSTP Melanggar. 

PPKM Sudah Tepat https://t.co/F8M9XIJdbs",kstp melanggar ppkm sudah tepat,2,2
50,724,Ttep sbar dan smangat dlam mnghadapi ujian slama ppkm.hhhh,tetap sbar dan semangat dalam mnghadapi ujian selama ppkm,2,2
51,2739,#TetapProkesJanganKendor dan juga taat aturan PPKM Darurat Level 4 dukung Indonesia segera pulih kembali 🙏 https://t.co/m4IMPu5ArY,dan juga taat aturan ppkm darurat level dukung indonesia segera pulih kembali,2,2
52,1309,"@jembermfs emg ada yang buka ya ppkm gini? 
btw H2O aman kok buat cewe, rame-rame gitu pokonya",memang ada yang buka iya ppkm begini ngomong-ngomong aman kok buat cewek ramai ramai begitu pokoknya,1,1
53,2382,Wkwkwkwkwk sepertinyaaa bsk dah ga dilanjut ppkm. We'll see 👁👄👁 https://t.co/i7TsWtWLMc,wkwkwkwkwk sepertinya besok sudah tidak dilanjut ppkm aku ll sih,1,1
54,2631,"@dr_koko28 PPKM disini membuat para pedagang makanan (Resto langganan) terutama di jalan Utama banyak yg tutup. Padahal yg lagi sakit butuh makanan siap makan. Go**k pun aga susah...
Klo PPKM diperpanjang semoga pada sehat ya, biar bisa masak sendiri dirumah..",ppkm disini membuat para pedagang makanan resto langganan terutama di jalan utama banyak yang tutup padahal yang lagi sakit butuh makanan siap makan go pun aga susah kalau ppkm diperpanjang semoga pada sehat iya supaya bisa masak sendiri dirumah,0,0
55,717,"Arahan dan ajakan untuk tidak melakukan kegiatan dalam kerumunan besar termasuk beribadah.
Jadi mengutamakan keselamatan masyarakat banyak jauh lebih penting.
Mari kita dukung pemerintah dengan PPKM Darurat.
@jokowi Lawan Pandemi https://t.co/MwiSmNWBll",arahan dan ajakan untuk tidak melakukan kegiatan dalam kerumunan besar termasuk beribadah jadi mengutamakan keselamatan masyarakat banyak jauh lebih penting mari kita dukung pemerintah dengan ppkm darurat lawan pandemi,2,2
56,2383,Wkwk bener badminton menemani ppkm ku https://t.co/u0G5XsUNst,wkwk benar badminton menemani ppkm ku,2,1
57,1290,Akankah PPKM diperpanjang?,akankah ppkm diperpanjang,1,1
58,719,"@kh_notodiputro Ga nyangka naik segitu prof, pdhl dah ppkm",tidak menyangka naik segitu prof padahal sudah ppkm,0,1
59,3294,"Yg usul pake istilah ""Level"" di aturan PPKM pasti sekarang lagi kayak yang ""anying keren banget si gua teh gening anying""",yang usul pakai istilah level di aturan ppkm pasti sekarang lagi seperti yang anying keren banget sih aku kakak perempuan gening anying,0,0
60,1649,"@Tasykur_Ibrahim @NOTASLIMBOY udah ga kuat ppkm pak,usahanya merosot",sudah tidak kuat ppkm pak usahanya merosot,0,0
61,592,"PPKM Level 1-4
Dalam pikiran ku ""iki status gunung merapi po piye?""",ppkm level dalam pikiran ku iki status gunung merapi po piye,1,1
62,1177,"@Urrangawak Lawan kovid dengan taati aturan PPKM, disiplin prokes dan lakukan vaksinasi",lawan kovid dengan taati aturan ppkm disiplin prokes dan lakukan vaksinasi,2,2
63,2356,"hmm ternyata ukai diundur grgr ppkm
ya sudahlah ayok kita berjualan sajaa~~",hmm ternyata ukai diundur gara-gara ppkm iya sudahlah ayo kita berjualan sajaa,0,0
64,3210,@bertanyarl Dulu ibu2 pada ghibah sore2 di samping rmh gue. Sebel bgt. Tp skrg udh jrg bgt. Krn ppkm ghibahnya ikut ppkm wkwk.,dulu ibu pada ghibah sore di samping rumah aku sebel banget tapi sekarang udah jrg banget karena ppkm ghibahnya ikut ppkm wkwk,2,0
65,3236,"@mfaizhal22 @Piquen2 Lah kemampuanya hanya sebatas itu sj. Bagi2 bingkisan, potong pita, pencitraan. Gk mampu ambil komando covid. Ya terbukti, seharusy kebutuhan kesehatan utk rakyat murah (alat test pcr/ swab), ppkm 1,5 bln dikasih bansos hanya 1 x.",lah kemampuanya hanya sebatas itu saja bagi bingkisan potong pita pencitraan gak mampu ambil komando covid iya terbukti seharusy kebutuhan kesehatan untuk rakyat murah alat test pcr swab ppkm bulan dikasih bansos hanya,0,0
66,81,@Mr_Khepo Hiburan d kala ppkm 😂,hiburan kala ppkm,2,1
67,1555,@clysiaca @AREAJULID PPKM ga PPKM juga kan kebanyakan orang emang mental pengemis aja,ppkm tidak ppkm juga kan kebanyakan orang memang mental pengemis saja,0,1
68,938,"@FerdinandHaean3 Biji lu bukan foya2..
Rakyat di PPKM, makan bsk aja mikir..",biji kamu bukan foya rakyat di ppkm makan besok saja mikir,0,0
69,552,"°°
Pasal 14 UU No 4 Tahun 1984 Tentang Wabah Penyakit Menular.
Itu ⬆️ buat pejabat di RI yang tidak mendukung PPKM darurat.
.
.
.

https://t.co/JAoE0dZSEw",pasal uu no tahun tentang wabah penyakit menular itu buat pejabat di ri yang tidak mendukung ppkm darurat,0,0
70,232,@kompascom Tanggung sih harusnya PPKM lv 4 lanjut lagi sampai seminggu sampai benar benar turun kasusnya. Yg ada kalo ga PPKM kasus naik tambah lama yg akhirnya harus PPKM dari awal lagi 😌,tanggung sih harusnya ppkm lv lanjut lagi sampai seminggu sampai benar benar turun kasusnya yang ada jika tidak ppkm kasus naik tambah lama yang akhirnya harus ppkm dari awal lagi,2,0
71,2280,Ppkm berakhir kalian mau kemana?,ppkm berakhir kalian mau kemana,1,1
72,2497,"Kalau dia mngkin ga tau Malu atau bahkan ga punya Malu, tapi sialnya Bangsa yg Besar ini ikut2an menanggung Malu karna Kelakuannya.
Jokowi Langgar PPKM
Jokowi langgar Prokes. https://t.co/KTSJQdOoYT",kalau dia mungkin tidak tahu malu atau bahkan tidak punya malu tapi sialnya bangsa yang besar ini ikut an menanggung malu karena kelakuannya jokowi langgar ppkm jokowi langgar prokes,0,0
73,1930,"masalahnya ada pd pak luhut sendiri sbb dia yg bikin corona meningkat karena dari awal pandemi, dia terus mendatangkan TKA china sampai PPKM darurat demi investasi, pdhal rakyat tdk pernah merasakan hasil dari investasi tsb. https://t.co/DshgJDhhSd",masalahnya ada pada pak luhut sendiri sebagai berikut dia yang buat corona meningkat karena dari awal pandemi dia terus mendatangkan tka china sampai ppkm darurat demi investasi padahal rakyat tidak pernah merasakan hasil dari investasi tersebut,0,0
74,2069,"Semakin parah ni rezim,pemanfaatan situasi yg selalu di manfaatkan dan di ada2kan, dan selalu di buat2,bener2 memang mau di sengsarakan rakyat jelata, dan tanpa solusi mengatasi efek PPKM yg di perpanjang,..
Bngkitlah wahai rakyat, sdh saatnya lawan pembodohan dan pemiskinan ini https://t.co/FNJTYriUI7",semakin parah ini rezim pemanfaatan situasi yang selalu di manfaatkan dan di ada kan dan selalu di buat benar memang mau di sengsarakan rakyat jelata dan tanpa solusi mengatasi efek ppkm yang di perpanjang bngkitlah wahai rakyat sudah saatnya lawan pembodohan dan pemiskinan ini,0,0
75,1138,"@musaKSQ Stop pemberitaan kopit
Stop fucksin
Stop brisik ambulance
(Karna jlanan kosong di ppkm)
Stop wna/tka
Stop juga tes2 rupat rapit",stop pemberitaan kopit stop fucksin stop brisik ambulance karena jlanan kosong di ppkm stop wna tka stop juga tes rupat rapit,0,0
76,1760,@RiegOMG Ini pasti ayahnya rafi dr semalem abis patroli ppkm blm tidur 😁😁,ini pasti ayahnya rafi dari semalem habis patroli ppkm belum tidur,1,1
77,1004,Ppkm d perpanjang smpe kinderjoy turun harga,ppkm perpanjang sampai kinderjoy turun harga,1,0
78,242,"Pak Bos, silakan PPKM level berapa pun ""diperpanjang"", asalkan penderitaan rakyat diperpendek.

Prof. Suteki, S.H., M.Hum
(Pakar Hukum dan Masyarakat) https://t.co/OBrxrxnXH9",pak bos silakan ppkm level berapa pun diperpanjang asalkan penderitaan rakyat diperpendek prof suteki rumah pakar hukum dan masyarakat,0,0
79,548,Tetep ngadain lomba 17agsts walopun PPKM,tetap mengadakan lomba agustus walopun ppkm,1,2
80,1142,"liat story tmen ngopi pgn bgt ikutan, tp smenjak ppkm apalgi udh kls 12 stop ngopi dluu. ya allah kgn, huhh nangis😭",lihat story teman ngopi pengen banget ikutan tapi smenjak ppkm apalagi udah kelas stop ngopi dluu iya allah kangen huhh menangis,0,0
81,961,"#BahuMembahuAtasiPandemi
Yg katanya bosan dirumahaja, gk bs ktmu tmn, gk bs cari duit
Coba seandainya sblm ppkm darurat berlaku, kalian nuruttt taat prokes, gw rasa PPKM darurat gak bakal ad. Dah skrg, ikuti aturan. Semua dilakukan demi kebaikan kita bersama. Jangan lupa vaksin https://t.co/9zW0Lk9JwN",yang katanya bosan dirumahaja gak bisa ketemu teman gak bisa cari duit coba seandainya seblum ppkm darurat berlaku kalian nurut taat prokes aku rasa ppkm darurat enggak bakal ada sudah sekarang ikuti aturan semua dilakukan demi kebaikan kita bersama jangan lupa vaksin,2,2
82,2998,"/wal selama ppkm di pulau jawa, pengiriman paket jadi lebih lambat lah? atau ttp sama aja?",wal selama ppkm di pulau jawa pengiriman paket jadi lebih lambat lah atau tetap sama saja,1,0
83,2715,selamat pagi gengs 3 hari lagi kelar ppkm darurat tp tetep gbs kmn kmn huahahaha 🙁,selamat pagi gengs hari lagi kelar ppkm darurat tapi tetap tidak bisa kemana kemana huahahaha,1,1
84,3393,PPKM = Pagi Pagi Kontol Masuk🥰,ppkm pagi pagi kontol masuk,1,1
85,1502,"@SINDOnews Makanya sekarang robah tuh aturan PPKM ,walaupun adaPPKM tetap ada lonjakan virus varian , ganti aturan tingkatkan imun dan iman rumah"" ibadah jangan sampai ada penutupan supaya virus varian tidak berkelanjutan ,",makanya sekarang robah itu aturan ppkm walaupun adappkm tetap ada lonjakan virus varian ganti aturan tingkatkan imun dan iman rumah ibadah jangan sampai ada penutupan supaya virus varian tidak berkelanjutan,0,2
86,2072,Ppkm diperpanjang seminggu sekali kyk updatean anime,ppkm diperpanjang seminggu sekali kayak updatean anime,1,1
87,3201,"@namikimora Eh bukan lockdown, ppkm.
di sana kayaknya sama juga kayak di sini, yg kayak jualan tutup jam 8 malam",eh bukan lockdown ppkm di sana sepertinya sama juga seperti di sini yang seperti jualan tutup jam malam,1,0
88,1652,Pemerintah perpanjang Bansos selama PPKM Darurat bertujuan untuk membantu masyarakat miskin bertahan di tengah pandemi Covid-19. https://t.co/Qgw96FD974,pemerintah perpanjang bansos selama ppkm darurat bertujuan untuk membantu masyarakat miskin bertahan di tengah pandemi covid,2,2
89,953,"Cegah Covid-19 dengan vaksinasi dan disiplin prokes
PPKM Rakyat Sehat https://t.co/nvpIj55OjZ",cegah covid dengan vaksinasi dan disiplin prokes ppkm rakyat sehat,2,2
90,629,☁️ woy ak gbut ada yg mau dm an gk sie ntar kita berteman mengarungi ppkm level pedas mampus ini btw gue ava dasha taran trimss,woy aku gbut ada yang mau dm an gak sih nanti kita berteman mengarungi ppkm level pedas mampus ini ngomong-ngomong aku avatar dasha taran trim,0,1
91,363,good morning fren! tetep semangat walaupun ppkm terus berlanjut dan selalu jaga kesehatan yaa&lt;3 https://t.co/sPpp8YetQ6,good morning fren tetap semangat walaupun ppkm terus berlanjut dan selalu jaga kesehatan ya lantai,2,2
92,3684,Kalo 17 an ada lomba bertahan hidup ditengah PPKM. Pasti banyak yg menang,jika an ada lomba bertahan hidup ditengah ppkm pasti banyak yang menang,1,2
93,1462,"@detikcom Ga masalah mau berapa tahun atau seumur hidup,yg pasti rakyat hanya mau tahu solusinya apa untuk rakyat yg terdampak pandemi dan PPKM ini?",tidak masalah mau berapa tahun atau seumur hidup yang pasti rakyat hanya mau tahu solusinya apa untuk rakyat yang terdampak pandemi dan ppkm ini,0,0
94,225,@tuqyul Efek ppkm ya. Orang dagabg tutup lebih awal :”,efek ppkm iya orang dagabg tutup lebih awal,0,0
95,3802,@bts_seleraku Jangan lupa sarapan lagi ppkm kalo lo sakit gue gabisa jenguk soalnya ✌️ semangat buat hari ini semoga ada kabar baik buat orang baik ❣️,jangan lupa sarapan lagi ppkm jika kamu sakit aku tidak bisa jenguk soalnya semangat buat hari ini semoga ada kabar baik buat orang baik,2,2
96,2411,Pov masih nongkrong jam 08.05 pas ppkm https://t.co/JvMc3ZTeOG,pov masih nongkrong jam pas ppkm,1,1
97,2110,"#RedamPandemiJagaNKRI
Mari tuips bersama kita trs usaha pemerintah dlm penanganan Covid19. Jgn lupa untuk taat prokes n ikut vaksinasi jika mendapat kesempatan. Dibutuhkan kerjasama n disiplin Masyarakat agar PPKM Level 4 ini sukses n berhasil menekan penyebaran Covid19 🙏 https://t.co/Td1SG7MvhF",mari tuips bersama kita terus usaha pemerintah dalam penanganan covid jangan lupa untuk taat prokes ikut vaksinasi jika mendapat kesempatan dibutuhkan kerjasama disiplin masyarakat agar ppkm level ini sukses berhasil menekan penyebaran covid,2,2
98,1495,"@VIVAcoid Sangat memprihatinkan !!!!! Mari....tinggalkan n bagikan ""Kelebihan Berat Badan "" kpd Masyarakat yg strees n terpaksa berpuasa krn sikon PPKM. Tdk butuh timbangan berat badan, krn pst menciut dlm Keperihan hidup se-Hari2.",sangat memprihatinkan mari tinggalkan bagikan kelebihan berat badan kepada masyarakat yang strees terpaksa berpuasa karena situasi dan kondisi ppkm tidak butuh timbangan berat badan karena pasti menciut dalam keperihan hidup se hari,0,0
99,558,"-rek doain daganganku laris yaa, baru boleh jualan setelah ppkm terimakasih hv a nice day🌻",rek doain daganganku laris ya baru boleh jualan setelah ppkm terimakasih hv nice hari,2,1
100,2014,"Pagi kawanku. Ada kabar gembira lagi nih

Selama PPKM ini pemerintah memberikan bantuan Diskon Listrik nih. Stimulus listrik ini diharapkan dapat meringankan beban masyarakat selama masa PPKM.

Gimana cara dapatnya? Yuk simak thread gue ini https://t.co/Q8tO2r1TZU",pagi kawanku ada kabar gembira lagi ini selama ppkm ini pemerintah memberikan bantuan diskon listrik ini stimulus listrik ini diharapkan dapat meringankan beban masyarakat selama masa ppkm bagaimana cara dapatnya yuk simak thread aku ini,2,2
101,2643,@Hendrasastraa Ppkm diem dirumaaa,ppkm diam dirumah,1,1
102,1228,@GibraltarNc Efek PPKM tanpa subsidi kali 😃,efek ppkm tanpa subsidi kali,1,1
103,1361,"@P3nj3l4j4h_id @B3L4H4N_JIWA Dia lupa.. yg ngecet peswt jg orang.. perushaan mmpeker jkan mereka, 2 M juga sbagian u gaji mreka, PPKM bukn hanya soal bansos, tpi juga soal menggerakan pelaku ekokomi",dia lupa yang ngecet peswt juga orang perushaan mmpeker jkan mereka juga sbagian gaji mereka ppkm bukan hanya soal bansos tapi juga soal menggerakan pelaku ekokomi,2,0
104,2005,"Minggu yang Cerah, tetap semangat meski PPKM https://t.co/V2WgSyolM6",minggu yang cerah tetap semangat meski ppkm,2,2
105,1123,"@xlhomeid Enak sih dirumah aja. 

Tapi jringan XL Home di tempatku sepertinya ikutan PPKM. Jaga jarak juga jaringannya jadi suka hilang2 padahal kalo bayar tagihan gak boleh separuh2....

Apalagi klo saat anak2 lagi sekolah daring trus jaringnnya ngambek.  Bikin emosi level dewa.",enak sih dirumah saja tapi jringan xl rumah di tempatku sepertinya ikutan ppkm jaga jarak juga jaringannya jadi suka hilang padahal jika bayar tagihan enggak boleh separuh apalagi kalau saat anak lagi sekolah online terus jaringnnya marah buat emosi level dewa,0,0
106,2667,"@renbuzzlight Pagi ren, abis ppkm kudu nyoto ya 🤣🤣🤣",pagi ren habis ppkm harus nyoto iya,1,1
107,3445,"PPKM Darurat hari ke-3 (5 juli 2021)
pasar mbalong, pucakwangi, pati, jateng
@ganjarpranowo @Satpol_PP_Pati @aik_arif https://t.co/HhZiNAtidW",ppkm darurat hari ke juli pasar mbalong pucakwangi pati jateng,1,1
108,1679,"@TofaTofa_id Model yg tdk baik, tdk patut dicontoh dan melanggar aturan/PPKM",model yang tidak baik tidak patut dicontoh dan melanggar aturan ppkm,0,1
