,raw,processed,label,predict
15,@asyaauuu PPKM (Pelan Pelan Kamu Menghilang),ppkm pelan pelan menghilang,1,1
16,SE tertanggal 7 Juli 2021 yang ditujukan kepda bupati / wali kota se-Jawa Timur itu mengacu pada Inmendagri 15 / 2021 tentang PPKM Darurat di wilayah Jawa dan Provinsi Bali loh !,tertanggal juli ditujukan bupati wali kota jawa timur mengacu inmendagri ppkm darurat wilayah jawa provinsi bali loh,1,1
17,"Scroll tiktok isinya jogya melle, jogya bisa diem bentar gaksih. Ppkm niiiiii, maren kebandung aja plg2 kopit. Wkwkwkkw",scroll tiktok isinya jogya melle jogya diam sebentar gaksih ppkm maren kebandung kopit wkwkwkkw,0,0
18,PPKM ( Pernah Percaya Kemudian Menyesal),ppkm percaya menyesal,1,1
19,kirain juli gakan dapet orderan karena ppkm dan idul adha wkwk. ternyata nyempil 1 dari yutuber banjarmasin. LANCAR LANCAR YOP KERJA,mengira juli tidak akan orderan ppkm idul adha wkwk ternyata nyempil yutuber banjarmasin lancar lancar yop kerja,2,0
20,"@tempodotco laah? kalo TKA CINA datang bawa penyakit, sama aja ente gak dukung PPKM DARURAT !!",laah tka cina datang bawa penyakit ente dukung ppkm darurat,0,0
21,"Satpol PP disaat PPKM
bisa jadi Satpol PP PPKM🤭",satpol pulang pergi disaat ppkm jadi satpol pulang pergi ppkm,1,1
22,"Sprt yg sudah2, dimana barbuk narkoba &amp; barang berharga lainnya ternyata byk yg dijual lagi oleh menyitanya. Lha uang denda &amp; barang sitaan para pelanggar PPKM yg hanya dikenakan pada rakyat kecil misal Tukang Bubur &amp; Warung Klontong, siapa yg jamin tidak disalah-gunakan petugas?","spyg dimana barbuk narkotika, psikotropika, dan obat terlarang amp barang berharga ternyata dijual menyitanya uang denda amp barang sitaan pelanggar ppkm dikenakan rakyat misal tukang bubur amp warung klontong jamin disalah gunakan petugas",0,0
23,"@BiznetHome untuk bulan Agustus gak ada promo free pemasangan lagi nih, ppkm dilanjut loh.",untuk bulan agustus promo bebas pemasangan ppkm dilanjut loh,1,1
24,@centellaasia Sampe PPKM kelar Mol 🤣,ppkm kelar mol,1,1
25,"Biarkan PPKM menutup jalan raya,
yang penting tidak menutup hatimu untuk saya.",biarkan ppkm menutup jalan raya penting menutup hatimu untuk,1,0
26,"Anjir bingung mo makan apa niw lebaran mana  udh ppkm, warung2 pada nutup semua lagi",  bingung makan niw lebaran udah ppkm warung nutup,0,1
27,"- Jokowi wajib mundur atau dilengserkan utk selamatkan rakyat !
- Hari ini 24 Juli jokowi ditumbangkan ! Alhamdulillah Allahuakbar!
- Mahasiswa, ojol n rakyat bergerak tolak PPKM n gulingkan jokowi !
#TumbangkanJokowi
#BebaskanIBHRSdkk
#PulangkanTKAcina 

https://t.co/cF1MGCx0vP",jokowi wajib mundur dilengserkan untuk selamatkan rakyat hari juli jokowi ditumbangkan alhamdulillah allahuakbar mahasiswa ojol rakyat bergerak tolak ppkm gulingkan jokowi,0,0
28,Yamaha Jatim Terapkan Prokes Ketat Dan Patuhi Aturan Selama PPKM https://t.co/x1OFqpSi4w,yamaha jatim terapkan prokes ketat patuhi aturan ppkm,2,2
29,"@marlina_idha PPKM merupakan kebijakan pemerintah pusat tp knp yg menerapkan dg tegas dan pengawasan ketat malah disalahkan dan dibuuly ?
#indonesiabutuhorangjujurdancerdas",ppkm kebijakan pemerintah pusat menerapkan tegas pengawasan ketat disalahkan dibuuly,1,0
30,"@S_GraciaJKT48 PPKM
Pelan Pelan Ku Memilikimu",ppkm pelan pelan ku memilikimu,1,1
31,"@tr4nsky @Irfanmramdhan @manuponthehiII @detikcom Ya kalo penangannya cuma psbb,ppkm,adalah lagi ppkm darurat ,keburu virus dah terbang ke pelosok2 negri,",iya penangannya psbb ppkm ppkm darurat terlanjur virus terbang pelosok negeri,0,0
32,/lt ppkm diperpanjang sampai bookmail dari bookdepo pada sampai semua,lantai ppkm diperpanjang bookmail bookdepo,1,1
33,Aku suka ppkm,suka ppkm,2,1
34,@FaisalBasri @yadhijashar @KontanNews Rakyat dijadikan sengsara dg ppkm ditindas oleh aturan.dibunuh Dg vaksin,rakyat dijadikan sengsara ppkm ditindas aturan dibunuh vaksin,0,0
35,@pandemictalksID ppkm luar jawa dibikin lebih longgar oleh pemda… daerah zona merah masih ada yg sekolah tatap muka dg alasan desa/kelurahan masih zona hijau dalam kriteria ppkm mikro.,ppkm luar jawa dibikin longgar pemerintah daerah daerah zona merah sekolah tatap muka alasan desa kelurahan zona hijau kriteria ppkm mikro,1,1
36,Rumah Bunder Angker Di Track Pendakian Kawah Ijen https://t.co/mTSeA6aOqD via @YouTube kalo saja PPKM tidak diberlakukan barangkali moment moment serupa ini masih akan terus berlangsung. Sayangnya mau tidak mau kita tak ada pilihan lain selain menetap di rumah demi kebaikan,rumah bunder angker track pendakian kawah ijen via ppkm diberlakukan barangkali moment moment terus berlangsung sayangnya pilihan menetap rumah kebaikan,1,1
37,@RickyBarmans Di mana korelasinya bknkah PPKM level 4 masih berjalan.,korelasinya bknkah ppkm level berjalan,1,1
38,"@littlechixken @kkeembab @AREAJULID Ppkm, bukan ppkn 😭",ppkm ppkn,1,1
39,"@aigyuya Iya na, selama ppkm jelek banget jam tidurnya. Biasanya abis azan subuh baru bisa merem :(",iya nya ppkm jelek banget jam tidurnya habis azan subuh baru merem,0,1
40,dari awal ppkm mesti produktif yaa setidaknya ga terlalu kesepian lah yaa ppkm tahun ini🙈,awal ppkm mesti produktif ya kesepian ya ppkm tahun,2,1
41,"pak @jokowi @kemenkomarves @kemenhub151  
apabila ada PPKM mohon dipertimbangkan lg terkait transportasi utk yg kerja luar kota.
kereta lokal ditutup,akhirnya penumpang pada lari ke bis yg mana di bis ekonomi umum prokes kurang menurut saya apalagi jika armada yg jalan tidak 100%",pak ppkm mohon dipertimbangkan terkait transportasi untuk kerja luar kota kereta lokal ditutup penumpang lari bis bis ekonomi umum prokes kurang menurut armada jalan,0,0
42,"@FachmiHEHE @nowjayb @AREAJULID Dari awal sudah paling gampang, pakai masker, jgn ngumpul. Hal yg mudah, tp pada abai, jd nya ya gini. Sama kaya pempus awal abai, dah ky gini tgl nunjuk rakyat yg salah, sperti org2 yg teriak2 saat ppkm, tp ga mau jaga prokes, sama2 manusia bgst egois.",awal gampang pakai masker berkumpul mudah abai jadi nya iya kayak pempus awal abai tanggal nunjuk rakyat salah orang teriak ppkm jaga prokes manusia bangsat egois,0,0
43,@alisyarief Negerk aneh stelah d vaksin si cupid malah ngelonjak.... PPKM cuma akal2an meluluskan komunis cina msuk RI..,negerk aneh vaksin sih cupid ngelonjak ppkm akal an meluluskan komunis cina masuk ri,0,0
44,"@frhan_bp Iya.. efek ppkm mah apa"" kudu onlen",iya efek ppkm mah online,1,1
45,"@panca66 PPKM aja diserahkan ke orang lain, karna gk pede atau sadar gk mampu ?? 🤔",ppkm diserahkan orang gak percaya diri sadar gak,0,1
46,""" PPKM ""
Hanya menutup akses jalan darat, laut dan udara, percayalah.. Allah akan tetap buka akses rezeki kita dari segala arah. Aamiin.",ppkm menutup akses jalan darat laut udara percayalah allah tetap buka akses rezeki arah amin,2,0
47,"PPKM diperpanjang sampai wanita bisa bilang ""maaf aku yang salah""..
ㅤ",ppkm diperpanjang wanita bilang maaf salah,1,0
48,@eksyptr @CALukitasari PPKM soalnya.,ppkm soalnya,1,1
49,"Indonesia, kakean utang, kakean aturan garai masyarakat cilik kelangan, penggawean, penghasilan, mergo PPKM terus terusan 🥴 nanti tak kasih nada",indonesia kakean utang kakean aturan garai masyarakat cilik kelangan penggawean penghasilan mergo ppkm terus terusan kasih nada,0,0
50,@detikcom PPKM terus sampai Oktober,ppkm terus oktober,1,0
51,efek ppkm jadi dirumah aja guys!🥵🥵 https://t.co/UFx9tPjd16,efek ppkm jadi dirumah teman-teman,1,1
52,@akutuhcewek Seh ppkm hmm,sih ppkm hmm,1,1
53,@A100888 PPKM diperpanjang terus om hehe,ppkm diperpanjang terus om he,1,0
54,"@KompasTV Pakai logika dikit napa ?!. PPKM orang disuruh dirumah tapi kebutuhan disuruh cari sendiri. Emang kebutuhan itu gratis ?, bisa datang sendiri ?. Memangnya dengan ngomong lapar terus makanan datang ?. Rakyat tahu klo lockdown yg menjerit justru pemerintah. Krn gak mampu.",pakai logika dikit ppkm orang disuruh dirumah kebutuhan disuruh cari kebutuhan gratis datang memangnya bicara lapar terus makanan datang rakyat tahu lockdown menjerit pemerintah,0,0
55,@k0pi_pahitku hehe sulit skrg ku temui yg seperti ini semenjak ppkm,he sulit ku temui semenjak ppkm,1,1
56,Ppkm darurat berubah lagi aturannya?????,ppkm darurat berubah aturannya,0,1
57,"@ArdianZA__ @PlateJohnny @kemkominfo Boro boro diminta imbalan,selama PPKM ini saja aku blum dapat BST.😝😝😝",diminta imbalan ppkm bst,0,1
58,"https://t.co/lnoHv2Y2Nv

Pemerintah memutuskan memperpanjang PPKM level 4 di sejumlah daerah di Indonesia. Ada 141 kota/kabupaten di RI yang masih harus menerapkan PPKM level 4.",pemerintah memutuskan memperpanjang ppkm level sejumlah daerah indonesia kota kabupaten ri menerapkan ppkm level,1,1
59,@mey0106_ aku mo ke dokter gigi aja ga jadi mulu krn ppkm :”),dokter gigi jadi terus ppkm,0,0
60,Bismillah miara tanaman karnivora agar ppkm makin enjoy https://t.co/jLtnSzYpSY,bismillah memiara tanaman karnivora ppkm enjoy,2,1
61,"PPKM : 

Pagi Pagi Kepikiran Mas

☺️",ppkm pagi pagi terpikirkan mas,1,1
62,"@jek___ @FiersaBesari Lagi PPKM, toko aja pada ditutup apalagi sleting.",ppkm toko ditutup sleting,0,0
63,@SPONSOR_GA1 Ikutan ah lumayan buat beli nasi uduk di saat ppkm,ikutan ah lumayan beli nasi uduk ppkm,1,1
64,Hal ter-random selama ppkm ini adalah ngefollow account ig alpaca. Emesh banget. Mau miara 1. https://t.co/Z0dVoKKNn0 https://t.co/UY1bugRicf,ter random ppkm ngefollow account ig alpaca emesh banget memiara,1,0
65,"@bekasibase dirumah aja , ppkm",dirumah ppkm,1,1
66,"PPKM 
( Para Pemuda Kembali Mletre )",ppkm pemuda kembali mletre,0,1
67,@sashimiseo TAPI LGIE PPKM KITA PEGANGAN JRAK JWUH AJJ YH,lgie ppkm pegangan jrak jwuh ya,1,1
68,Dah bosen ppkm mulu. https://t.co/4nN2NltGZF,bosan ppkm terus,0,0
69,"@accaa111 Ca, bodymu makin semok aja aku liat, padahal lagi PPKM",ca bodymu semok lihat ppkm,1,0
70,"@tirta_hudhi Dari pada bikin PPKM gini mending atasi itu hoax di masyarakat, endors kerahkan tokoh2 masyarakat mulai dari kyai, tokoh2 warkop , preman, mbak2 seles rokok, seles oppo",ppkm lebih baik atasi isu bohong masyarakat endors kerahkan tokoh masyarakat mulai kyai tokoh warung kopi preman mbak seles rokok seles oppo,1,0
71,"Dukung Penuh pelaksanaan PPKM demi keselamatan bersama

Berjuang Bersama Jokowi https://t.co/Fs3xfiNltP",dukung penuh pelaksanaan ppkm keselamatan berjuang jokowi,2,2
72,@TeddyGusnaidi Sebenarnya dalam masa ppkm ini gak perlu ditambah darurat jika semua masyarakat tahu dan paham kondisi pandemi sekarang ini. Semua harus mengutamakan prokes.,masa ppkm perlu ditambah darurat masyarakat tahu paham kondisi pandemi mengutamakan prokes,2,2
73,Pagi Pagi Kena Marah (PPKM),pagi pagi kena marah ppkm,1,1
74,"Good morning, gimana hari ke-14 PPKM nya ?",good morning hari ppkm nya,1,1
75,Beres ppkm mau staycation ah,beres ppkm staycation ah,1,1
76,"didaerah gue lgi ppkm, yang diizinin jualan cuman sembako doang. Ada 1 yang disuruh tutup malah demo ganti rugi, akhirnya dibiarin karna bandel bgt. dikira yang rugi ente doang",didaerah ppkm diizinin jualan sembilan bahan pokok doang disuruh tutup demo ganti rugi dibiarkan bandel banget dikira rugi ente doang,0,0
77,"Ada untungnya juga nih ppkm, kalo ngga bisa jebol nih ak sehari bisa datang ke 3 nikahan",untungnya ppkm jebol sehari datang nikahan,2,0
78,"Pangkal penanganan pandemi #covid19 di Indonesia yang terkesan semrawut itu adalah kekurangtegasan dalam penerapan prokes, PSBB dan PPKM baik mikro maupun #PPKMDarurat , contoh kemarin di Sidoarjo adain vaksin tapi menimbulkan kerumuman hebat. Podo ae wkwk",pangkal penanganan pandemi indonesia terkesan semrawut kekurangtegasan penerapan prokes psbb ppkm baik mikro contoh kemarin sidoarjo mengadakan vaksin menimbulkan kerumuman hebat podo wkwk,0,2
79,Akankah PPKM diperpanjang?,ppkm diperpanjang,1,1
80,"@sosmed62 @VReza46 @CNNIndonesia Sembako mana yg nyampe? Nyampe pun disunat. sungguh kalimat penghiburan kosong.

Sebelum PPKM kasih sembako kurang masih ""ya Uda la masih bisa kerja""
Trus pas PPKM? Kerja ga bisa? Orang disuru pilih mati kena virus ato mati lapar.

Soon, it will turn into chaos. Demo itu pasti.",sembilan bahan pokok disunat sungguh kalimat penghiburan kosong ppkm kasih sembilan bahan pokok kurang iya kerja terus pas ppkm kerja orang disuru pilih mati kena virus mati lapar soon will turn into chaos demo,0,0
81,@hibooran PPKM pelan pelan kamu menghilang 😔,ppkm pelan pelan menghilang,1,1
82,@ridwanhr hawanya selesai PPKM nambah ini,hawanya selesai ppkm bertambah,1,1
83,SubhanaAllah PPKM diperpanjang lg 😑,subhanaallah ppkm diperpanjang,1,1
84,@Ulieagrem_ Ppkm kuyy,ppkm yuk,1,1
85,Bingung bgt orang banding2in PPKM di indo sama lockdown di negara maju. Kaga mikir emang ada tukang cilok disono? Ya emang di indo banyakan yg hari ini cari uang buat makan hari ini,bingung banget orang banding ppkm indonesia lockdown negara maju mikir tukang cilok di sana iya indonesia banyakan hari cari uang makan hari,0,0
86,ppkm diperpanjang sampai team KIII come back,ppkm diperpanjang team ki come back,1,1
87,"Ppkm ini ngebuat rumah rame, shubuh tv nya disetel ngaji, pagi dangdut, sore indie or lagu yg english, malem Korea 🥲👍 berwarna2 sekali gegara beda2 selera",ppkm ngebuat rumah ramai shubuh tv nya disetel mengaji pagi dangdut sore indie lagu english malam korea berwarna gara-gara beda selera,1,0
88,"@ustadchen Ga ada cara lain bah kecuali penanganan yang bener dan sistematis. Banyakin testing, banyakin vaksin perhari at least bisa konsisten sehari sejuta, ppkm harus maksimal dan tegas jangan kendor2, perlindungan ekstra buat nakes, jaminan kebutuhan pokok buat masy miskin.",cara bah kecuali penanganan benar sistematis membanyaki testing membanyaki vaksin perhari at least konsisten sehari sejuta ppkm maksimal tegas kendor perlindungan ekstra tenaga kesehatan jaminan kebutuhan pokok masyarakat miskin,2,0
89,"@sundayflawless Hbd pacarnya nopik, doaku ppkm kelar corona kelar biar kalian ldrnya nggak ngenes2 bgt😘",hbd pacarnya nopik doaku ppkm kelar corona kelar ldrnya ngenes banget,1,1
90,"Kelanjutan PPKM menjadi level 4 tentu saja utk menekan angka kematian akibat tersuspend wabah kopid-19....

Kita ingin wabah ini berahkir...tdk ada lagi korban"" berikutnya...

Mari kita : #RedamPandemiJagaNKRI 

Kita akan menang sobat...yakin dan optimis... https://t.co/2ovoxLkr9M",kelanjutan ppkm menjadi level untuk menekan angka kematian akibat tersuspend wabah kopid wabah berahkir korban berikutnya mari menang sobat yakin optimis,2,2
91,eh ini ppkm smpe tanggal brp dah?,eh ppkm tanggal,1,0
92,"Krn ppkm jadinya gue masuk kerja jd shift 3 alias mulai jam 23.00 - 07.00 

Wohh edan",ppkm jadinya masuk kerja jadi shift alias mulai jam wohh edan,0,0
93,"#OptimisKalahkanPandemi .
Jangan abai, jangan lalai. 
Taati prokes
Nyatanya PPKM berhasil tekan penyebaran dn lonjakan kopit.
Yuk bantu para Nakes dn relawan https://t.co/iISBPg6Gdd",abai lalai taati prokes nyatanya ppkm berhasil tekan penyebaran lonjakan kopit yuk bantu tenaga kesehatan relawan,2,2
94,"@naisyuuu Jgn mas, ppkm haha",mas ppkm tertawa,1,1
95,@hensamwhy @aadeello2 ppkm sebentar lagi berenti kalo atasannya udah liat ini,ppkm sebentar berenti atasannya lihat,1,0
96,"ppkm nya dicicil, tautau udah 2022 _-",ppkm nya dicicil tautau,0,1
97,"@nglamoon Saya juga kirain ga jadi, tp ya tunggu aja yaa kali ppkm lanjut terusd",mengira jadi iya tunggu ya kali ppkm lanjut terusd,1,1
98,"@convomf belom, ppkm kan diperpanjang",ppkm diperpanjang,1,1
99,Ppkm diperpanjang gak ya? Klo kasih pengumuman jgn mlm dong @jokowi !,ppkm diperpanjang iya kasih pengumuman malam,1,1
100,@akuristaa @radenrauf Ppkm diperpanjang eh hubungan kita mlh udahan gajadi ketemu lagi kan:) bahkan gak akan ketemu lagi,ppkm diperpanjang eh hubungan udahan tidak jadi ketemu ketemu,1,1
101,"Barang kali ada orang kaya yang tertarik TUKAR NASIB seminggu aja dgn keluarga saya mumpung PPKM di perpanjang biar merasakan suasana PPKM spt saya dan keluarga 
@RamliRizal 
@axdwin 
@__SemutIstana",barang kali orang kayak tertarik tukar nasib seminggu keluarga ppkm perpanjang merasakan suasana ppkm keluarga,1,0
102,pemerintah telah menerapkan ppkm darurat di seluruh indonesia mualia tanggal 3 juli 2021. Saya minta masyarakat tetap patuhi protokol kesehatan dan tetap dirumah aja . Sekarang ini kondisinya lagi darurat negara tetangga kita udah di locdown.,pemerintah menerapkan ppkm darurat indonesia mualia tanggal juli meminta masyarakat tetap patuhi protokol kesehatan tetap dirumah kondisinya darurat negara tetangga locdown,2,2
103,@mamitequillaa Goooooddaaaaaamnnnn 😭 ppkm ni bgst sih,goddamn ppkm bangsat sih,0,1
104,hari terakhir wfh dalam rangka ppkm darurat -- sebelum (sepertinya) ppkm darurat diperpanjang.,hari terakhir wfh rangka ppkm darurat ppkm darurat diperpanjang,1,1
105,"Eh, selamat pagi. Happy weekend. Sudah sarapan belum? Karena ppkm, ngapel virtual aja ya nanti malam. Jangan lupa prokes nya 😊",eh selamat pagi bahagia weekend sarapan ppkm ngapel virtual iya malam lupa prokes nya,2,0
106,Tempat refleksi buka ga sih lagi ppkm gini pegel bener nih badan,tempat refleksi buka sih ppkm pegel benar badan,1,0
107,@radio_kotabatik Assalamualaikum rkb pagi mba vita ppkm sprt ayam geprek level 4 rakyat pun smkin pedas di buatnya Krn berimbas pada kebutuhan sehari hari,menjadi seseorang alamualaikum rkb pagi mbak vita ppkm spayam geprek level rakyat pedas buatnya berimbas kebutuhan sehari hari,0,0
108,@fzn_anly @AREAJULID Aku ppkm ini wfh di kostan😭😭 keluar cuma beli makan sama kebutuhan sehari2. Boro ke bali. Ke kantor aja udah kayak kuburan. Semua pake surat tugas dan harus ke HRD buat ngambil.,ppkm wfh kostan keluar beli makan kebutuhan sehari bali kantor kuburan pakai surat tugas hrd mengambil,0,0
109,"PPKM hari ke-2 jalanan lengang. Sepi tenan.. 

#dasareisihesuk 🤭

#ppkm #mikro #ppkmmikro #jawabali #covid_19 https://t.co/XvAqeL9weU",ppkm hari jalanan lengang sepi tenan,1,1
110,@parlinburman84 @audio_salsa @trikarsatambun @Agusreev @Delta_tofu @Lovebeereal01 @dhewie_official Sepait hidup ini PPKM 😭,sepait hidup ppkm,0,1
111,@CommuterLine min selama ppkm surat yang dibawa perlu di print atau boleh hanya ditunjukkan saja filenya,min ppkm surat dibawa perlu print ditunjukkan filenya,1,1
112,"Dukung perpanjangan PPKM. 
Kami Bersama Jokowi https://t.co/5O98KVsXhw",dukung perpanjangan ppkm jokowi,2,2
113,@iamtryshb1 Kirain minta ppkm selesai 😭,mengira meminta ppkm selesai,1,0
114,"Gue yang lagi proses healing, tiba2 dihadapkan sama keadaan ""mencekam"" ppkm dan berita2 yang kurang baik. Sedikit banyak memengaruhi kondisi gue lagi. Gue udah merasa baikan bahkan baikan bgt ntah kenapa rasanya sekarang kek sedikit merasakan kek sebelumnya.",proses healing tiba dihadapkan keadaan mencekam ppkm berita kurang baik memengaruhi kondisi merasa baikan baikan banget rasanya kayak merasakan kayak,0,0
115,"PPKM
Peraturan Pemerintah Korbannya Masyarakat
jhaaaaa bener juge",ppkm peraturan pemerintah korbannya masyarakat jha benar juge,0,0
116,"Bagaimana PPKM Darurat mau efektif, jika sudah menyangkut ibadah berjemaah  penegak hukum tidak mampu berbuat apa2. Beraninya cuma sama pedagang kecil, restoran dll. Sudahi saja PPKM ini. Fokus saja vaksinasi masif &amp; prokes. Dan biarkan seluruh aktivitas ekonomi berjalan @jokowi",ppkm darurat efektif menyangkut ibadah berjemaah penegak hukum berbuat beraninya pedagang restoran dan lain-lain sudahi ppkm fokus vaksinasi masif amp prokes biarkan aktivitas ekonomi berjalan,0,0
117,"Kebijakan PPKM Darurat oleh menteri perhubungan tidak pro kemanusiaan, menyuruh seluruh moda transportasi menolak membawa pasien rawat jalan bertemu dokter untuk berobat. Ini merupakan ciri negara komunis",kebijakan ppkm darurat menteri perhubungan profesional kemanusiaan menyuruh moda transportasi menolak membawa pasien rawat jalan bertemu dokter untuk berobat ciri negara komunis,0,0
118,"@mohmahfudmd Menteri2 ini perlu tidak dibayarkan gajinya setahun full..biar ngerti makna PPKM. Kita bayar pajak meski dengan dipotong sana sini,  tambahan biaya sana sini buat ngebiayaain orang2 macam beginikah?",menteri perlu dibayarkan gajinya setahun full mengerti makna ppkm bayar pajak dipotong tambahan biaya ngebiayaain orang,0,0
119,"#RingkusAktorCovidiot

Politisi Hitam biarpun putih kulitnya gemuk badannya &amp; biru bajunya
Jelas BUKAN NEGARAWAN

Covid 19 adalah Pandemi
PPKM, vaksinasi, Prokes 5 M adalah solusi
Bukan menghasut untuk menurunkan si pembuat kebijakan
🤦

pandemi diatasi
bukan di POLITISASI https://t.co/4EOqV2qStH",politisi hitam biarpun putih kulitnya gemuk badannya amp biru bajunya jelas negarawan covid pandemi ppkm vaksinasi prokes solusi menghasut untuk menurunkan sih pembuat kebijakan pandemi diatasi politisasi,2,2
120,"@gakbliblidotcom @dimasawarga @Bg_puak @TengkuKhadafi @martabk_manis @YNTKTS908206 @idnkeras @hibooran Ga ada yg sempurna,kau ajukan lah ke RT/lurah mu. Yg pasti PPKM ini spy ga lumpuh faskes. Aku jg punya usaha, omset turun drastis, ada karyawan yg kerja disitu,cukup biaya operasional &amp; gaji aja udh syukur. Prokes&amp;vaksin ya,cuma itu cara spy kasus covid turun https://t.co/e7ydOHjMsy",sempurna ajukan lurah mu ppkm lumpuh faskes punya usaha omset turun drastis karyawan kerja disitu cukup biaya operasional amp gaji udah syukur prokes amp vaksin iya cara kasus covid turun,2,0
121,Pegell bgt denger ppkm diperpanjang terussss,pegell banget dengar ppkm diperpanjang terus,0,0
122,@radenrauf PPKM diperpanjang sampai aku dan kamu duduk dipelaminan🥰Pakcepak cepak cepak jeder🤙🏻,ppkm diperpanjang duduk dipelaminan pakcepak cepak cepak jeder,1,1
123,@Kunto_Drummer @Nurulkjo1 Tu Efek ppkm extended terus yak?? 😁,efek ppkm extended terus iya,1,1
124,"@RachlanNashidik Baru PPKM 3 minggu aja dah menjerit rakyat..apalagi Lockdown...trus dikasih duit jg mau makan apa? Kl semua nya tutup..
Mending gini Ekonomi masih jalan...tuch di jakarta aja dah turun Covid karena PPKM",baru ppkm minggu menjerit rakyat lockdown terus dikasih duit makan kalo nya tutup lebih baik ekonomi jalan tuh jakarta turun covid ppkm,0,0
125,"@jokowi 11.000 T sama yg masih banyak di kantong Pakde,  keluarin dong, mayan kan, siapa tahu rakyat  bisa makan enak selama PPKM, cuekin aja yg prank 2T mah, ya ga?  👍",kantong pakde mengeluarkan lumayan tahu rakyat makan enak ppkm cuekin prank mah iya,0,0
126,"@yeolgabut belum, ppkm",ppkm,1,1
127,"Dingin ngga ada yang di peluk

❌ Jomblo
✅ LDR karena PPKM",dingin peluk tidak punya pacar hubungan jarak jauh ppkm,1,0
128,PPKM. Pagi Pagi Kepengen Makan.,ppkm pagi pagi makan,1,1
129,Efek PPKM ini spt nya byk muncul angel angel baru ya di dunia alter atau hanya perasaan ku aja.,efek ppkm nya muncul angel angel baru iya dunia alter perasaan ku,1,1
130,@MSFachrurrozy Bansos PPKM,bansos ppkm,1,0
131,HEBOH... Ramai-ramai Netizen Serukan PPKM = Pak Presiden Kapan Mundur https://t.co/RrUKVwgxEi https://t.co/fdf8WDxijI,heboh ramai ramai netizen serukan ppkm pak presiden mundur,0,0
