ID,Tweet,Class
18,Ternyata setelah dilihat.. yg ditampilkan yg level 4.. pdhal ppkm darurat hg berlaku buat level 3,2
19,@Dandhy_Laksono Dr istilah psbb hingga ppkm darurat gk ada ketegasan. Mereka ragu² mana yg perlu dselamatkan,1
20,"PPKM Darurat resmi, membuat pak bos bingung jadi mutasi anak kantor atau tidak.....  👀",1
21,"PPKM darurat tapi resepsi nikahan diizinin dilaksanakan sama gugus tugasnya. Ini gimana sih??
Untuk orang desa seperti kami susah2 gampang ngasih taunya. Segelintir aja yg sadar diri. Kalo ga ada larangan yg tegas dari aparatnya ya diterabas aja sama mereka",1
22,Masker Dobel dan PPKM. https://t.co/rjrSGmgkqK,2
23,"PPKM DARURAT DEMI KESELAMATAN BERSAMA

Diberlakukan mulai tanggal 3 s.d. 20 Juli 2021

#PolriPresisi
#PolresPati
#PPKMMikroTangkalPandemi
#BersamaCegahCovid19 https://t.co/hpD1qGkVNJ",2
24,Sejak diberlakukan ppkm hawanya jadi lebih dingin ya,2
25,PPKM tapi suamik masih ke kantor gak WHF 🥲,2
26,"@detikcom Keren juga PPKM, semoga ada hasil",3
27,"start besok yak...

PPKM Darurat ala Jokowi padahal ada istilah ""karantina wilayah"" napa kgk mau pake yg udah ada sik? https://t.co/lLzmEdHMJw",1
28,"@kompascom Lah katanya PPKM darurat, tapi masih dibplehin wisata
gimana sih plin plan banget",1
29,baru kali ini aku benci ppkm 🙂,1
30,"@schfess Masuk Ppkm kota gue, sedihh banget tp semoga dengan adanya ini coronce hilang dan pergii biar keadaan semakin membaik🥺💜",3
31,"Terbang sekarang pakai PCR, ini baik yang masuk dan keluar wilayah PPKM ya?",2
32,"Memang siy PPKM darurat ini menghambat pariwisata, tapi siapa yg mau liburan kalo orang2 dan org2 yg mereka sayangi pd sakit?",1
33,"PPKM tuh konsepnya gmana sii, ini adek gw bisa pulang atau kaga dah… flight tetep normal gitu ya? https://t.co/8Mek3PquiN",2
34,@NOTASLIMBOY @DonAdam68 PPKM = Pemberlakuan Pembatasan Kurang Meyakinkan,1
35,"Segala sepak terjang regime penguasa saat ini;  PSBB..PSBB skala besar, PPKM..PKPM mikro, total? 😏😐, ntah apalagi istilah yg mereka mainkan, tidak lain hanyalah utk MENTEROR RAKYAT demi mempertahankan KEKUASAAN. 
Panjang Umur Perjuangan...",1
36,"PROGRAM PPKM BERIKUTNYA ;

PPKM MATI BARENG-BARENG",1
37,"@Hilmi28 @arpas2000 @jokowi Terlalu byk diksi pake PSBB, PPKM darurat n bla bla cm dalil biar gk sampe kluar jurus https://t.co/uPJwxiLmLV.Lips Service ogah nanggung rakyat dg konsekuensi lockdown.Bgs di embat dg alasan penanganan Covid.Qt dibego2in dr awal biar byk dana bs disikat.otak makelar n mafia itu",1
38,@Meilialism Itu PPKM apa paket internet TELKOMSEL,2
39,"@ikramarki Rasanya pengen gua kirim ini ke bos gw. 
Penerapan PPKM tapi buat potong gaji karyawan doang 1-2 juta / bulan",1
40,"Rem Darurat Kuwi Bener-bener Ditarik: Siap-siap PPKM Jawa Bali 3-20 Juli 2021 https://t.co/fgokpt3wAO 
@kompasiana",2
41,"Misal Nih Sudah Ga ada lagi yang kena covid,terus new normal,habis itu tidak sampai 1 bulan banyak yang kena lagi covid,apakah tetep melakukan PPKM lagi?",2
42,@Syafakillah5758 @muispebrianto @jokowi Sepakat PPKM darurat.. ✊🏾🇮🇩✊🏾,3
43,"Bantuan Tunai PPKM Darurat Satu Keluarga Dapat Cuma Rp.10.000/hari  
https://t.co/UEfWewKweD",2
44,Yg belum pernah ngerasain WFH dari pertama adanya covid sampe PPKM ada dan ga akan WFH juga ada kok!,2
45,ppkm pikiran pusing karenamu hahay papale pale,1
46,"PSBB, PPKM, PPKM Darurat, PPKM Darurat Level 4, PPKM Darurat Level Raja Terakhir, PPKM Darurat Akustik Version",2
47,@e100ss apakah ketika PPKM berlaku tanggal 3 besok tetap bisa malakukan perjalanan ke luar kota? Ataukah akan ada penyekatan seperti ketika Lebaran ?,2
48,"Bersamaan dg PPKM, mari bangkitkan dan rapatkan barisan spiritual masing2.
Setelah satu tahun nakes bekerja (yg sebenarnya mereka pun juga takut, tapi harus TERPAKSA), maka mari kembali kepada Kehebatan yg MahaHebat. Menjadikan Tuhan sebagai SATU2nya Pelindung yg MahaMELINDUNGI.",3
49,"Patroli yustisi Polsek Pitu ke Pertokoan, angkringan dan poskamling  edukasi protokol kesehatan dan ppkm mikro partisipatoris https://t.co/0V0ptpeDXy",2
50,"NHK News memberitakan tiap saat, kedatangan atlit2 olimpiade dr berbagai negara di Tokyo. Yg istimewa adalah setelah itu memberitakan Jokowi memperketat lagi PPKM di Indonesia. 

Jadi malu, sedunia tahu. Orang sdh mulai normal ini balik lagi..@jokowi",1
51,Ngak boleh harus di rmh ppkm berlaku. https://t.co/DPuYQAtZWL,2
52,Lah...?? Sebenernya serius nggak sih ini PPKM Darurat?? https://t.co/xPyJaA9U3N,2
53,@ridwanmifro PPKM Final Revisi Bisayokbisa,2
54,@schfess Kabupaten Tangerang nggak masuk ppkm daerurat... Padahal banyak yg terpapar corongrong,2
55,@demikeswa @PNS_Ababil Soalnya hari ini jdwl wfh dan efek ppkm darurat jd harus beres hari itu jg. Kan g mungkin mnta ttd pas wfh 😭 emng klo di instansi lain pengajuan tukin gak di ttd dlu baru diajuin?,2
56,"@wanto_asher Nah itu ,, pasti akan PPKM juga ....",2
57,Om @RamliRizal @msaid_didu bagaimana tanggapan om thdp point2 PPKM ini ??? 😭 https://t.co/LlolsSw8hu,2
58,"Good Morning #pijatsurabaya

Maaf sebelumnya, dengan adanya kebijakan pemerintah tentang PPKM DARURAT Tanggal 3-20 Juli maka @SoloErik_Hasta putuskan reschedule OR surabaya 🙏

Thanks for customer yang masih keep slot for schedule after PPKM
Keep healthy masslov 
See you soon😘 https://t.co/S0vLnf5jOg",2
59,@TMCPoldaMetro Pagi... Selama PPKM darurat ada perubahan  tempat dan jam ops tidak ya?,2
60,ooooo jadi ppkm sama psbb itu sama aja. 🤔,2
61,"Pembatasan Kegiatan Masyarakat (PPKM) Darurat untuk Pulau Jawa dan Bali mulai 3 hingga 20 Juli 2021.

Alvin Lie: Kenapa Sampai Detik Ini Pemerintah Tidak Berani Tutup Gerbang Penumpang Internasional? https://t.co/bYlVVp28RP",1
62,"Opini ""menyambut"" PPKM darurat https://t.co/MAT0I4YUGr",2
63,"PSBB,PPKM atau apalah itu singkatan lainnya menurut gue mah sama aja, gak bakalan efektif.",1
64,Dengan PPKM DARURAT apakah Harun Masiku bisa ketemu?,2
65,"LOCKDOWN, WFH, SFH, PSBB, PPKM, serta turunannya~
Para ambiver amat legowo dgn ini. https://t.co/lTVATj6gDq",2
66,@nuicemedia Kita PPKM bansos sama quota internet masih dikasih tidak ? Takutnya kasihan buat orang yang tidak punya pemasukan... (hanya berfikir),1
67,"Aturan PPKM Darurat
Jawa-Bali 3 - 20 Juli 2021

Poin 7.
Tmpat ibadah spt masjid, mushala, gereja, pura, wihara, dan kelenteng, serta tmpt umum lainnya yg difungsikan sbg tmpt ibadah ditutup smntra.

Biasanya 14hr, tabrakan dg 'Iedul Adha? Koq sukanya bkin ribut dg umat Islam lho.",1
68,"Please yok yg sekiranya ekonominya sedikit cukup untuk ppkm jangan komporin yg dibawahbawah kita ni buat 'ga bertahan' untuk stay at home,jangan sok belain tapi coba untuk semangatin mereka,jangan untuk buat mereka ga nerima,dan lebih baik lagi jika kita bisa membantu,stay safe!",3
69,@CNNIndonesia Katanya begitu..kenyataanya begini..PPKM di berlakukan..orang dari luar berdatangan...wis sak karepmu..,1
70,"ppkm darurat   ................ . . . . ... ..  .. . .
semangat",3
71,"@MINKYUOMPONG ppkm namanya, lebih ketat gitu deh karena kasusnya udh tinggi bgt",1
72,Ppkm pemuda pancasila dlu baru km,2
73,"@detikcom Bapaknya dilawan euy, kudunya sih ga boleh, klo liat aturan ppkm",1
74,"jika terjadi peningkatan jumlah kasus gelombang ketiga, pemerintah sudah menyiapkan: ""PPKM Darurat Luar Biasa Hebat Idih Ngeri Cuy"".

peraturannya: tetap boleh berwisata dengan protokol kesehatan yang sangat-sangat ketat.

kira-kira begitu. https://t.co/xYvP4WWK95",1
75,"Ppkm darurat salah satu kangkah yang tepat, realisasi nya sebaiknya benar dan ketat! Banyak pasien pulang dari Jakarta +, apalagi Surabaya juga + , stay safe everyone",3
76,"@lxttlepriince @txtdarisisange soalnya lagi ape tu PPKM kan, gabisa berobat",1
77,"Mulai tanggal 3-20 Juli pemerintah akan memberlakukan PPKM darurat Khusus Jawa dan Bali...

Yesssss urang Sunda keprok 🤗🤗🤗🤗 aman berarti... 🤗🤗",2
78,"PPKM=""Pendidikan Pancasila dan KeMiskinan",1
79,"@LuhutBinsarFans ,PPKM darurat mensyaratkan setiap penumpang pesawat harus sudah di vaksin.. 
Bgmn klo ada pasien yg belum di vaksin yg terjebak sebelum tgl 2 Juli sudah di Jkt untuk pengobatan rujukan dari daerah diluar Jawa Bali dan ingin pulang ke daerah kembali..",2
80,PPKM darurat Jawa dan Bali,2
81,"PPKM darurat sebaiknya point ini ditunaikan, jika tidak maka tak akan pernah terlaksana dengan baik. https://t.co/FsSfgGc2gW",1
82,"Jika yg ditunjuk sbg komandan utk PPKM ini bukan Luhut Binsar barangkali efektivitas lebih baik. Rakyat lebih percaya.

Kalau dia ya ujungnya TKA China masuk lagi. Rakyat hanya tunduk ketika ada petugas.

Coba Menhan diminta atau sekalian Anies Baawedan diminta bantu.",1
83,@detikcom Ppkm kepanjangan dari,2
84,@schfess iya ppkm :(,2
85,"@KAI121 Untuk PPKM besok, naik joglosemarkerto perlu surat vaksin juga gak min?",2
86,"Di balik PPKM jawa bali adakah rencana yg tersembunyi, apa g menutup kemungkinan ada nya aseng dtng scr besar"" an sprt yg sdh""...berusaha berfikir positif tp sdh tak percaya lagi https://t.co/TaZaVGDXDl",1
87,Kabar ppkm darurat ini gimana ndor @MandorSR ?,2
88,"@liputan6dotcom ...dan saya mohon agar pejabat² tinggi negara beserta para pengiringnya yang ""merasa tinggi"" bisa menjadi contoh teladan penerapan aturan di masa PPKM Darurat bagi masyarakat, juga memiliki sense of crisis yang tinggi. Bosen liat mereka cengengesan dan selalu bikin gaduh",1
89,@OposisiCerdas @PDemokrat dlm islam mengambil madarat yg lbh sedikit vs madarat yg lbh banyak itu d anjurkan. Setiap org islam yg mengkaji ilmu agama dg baik pasti woles dg PPKM toh demi kebaikan bersama. Kecuali para provokator aja yg akan merasa terusik dg PPKM 🤗,3
90,"Halo min info. Izin bertanya adanya ppkm pelayanan samsat di bandung sampe jam berapa ya ? Dan untuk perpanjangan 5tahun apakah harus orang yang sama dengan ktp atau bisa di wakilkan ?
@PRFMnews",2
91,"Galau banget, selama ppkm diem di ekek atau arcamanik ya?🤔",1
92,PSBB PPKM PSMS PSIS ........,2
93,"PPKM Melanggar konstitusi, 
Mesjid ditutup,  pekerja buka dgn Prokes, TOLAK...✊✊ https://t.co/MJrttd0E4L https://t.co/izzkno9IqX",1
94,"@Cahyoyok1 SMELTER NIKEL MILIK CINA DI SULTRA GIMANA
KOK GAK DIIKUTKAN DLM CAKUPAN WILAYAH YG KENA PPKM DARUROH ?",1
95,"PPKM mulu dah
Kapan PDKTnya nih",1
96,"@schfess @movntaine eh tp kan ppkm ny 3-20, pdhl msuk sma ny 12,  hmmm membagongkan",2
97,"@TeddyGusnaidi @Didiek09165668 Setuju, gara² orang² bandel di dukung sama lambe² nyinyir, sekarang semakin banyak orang kena covid, akhirnya ada PPKM,  akhirnya semakin banyak yang ekonominya nyungsep gara² PPKM.",1
98,Ppkm mulai berlaku #lockdown2021 https://t.co/ASqEsee7WW,2
99,"@NOTASLIMBOY Sementara pulau lain ga melakukan tracing covid dengan bener supaya total yg terdata tidak bertambah, supaya ga kena lockdown atau ppkm atau apapun namanya. Dari data yg didapat mungkin ada yg dikorup juga.",1
100,Persiapan sudah 90% tiba tiba ada berita PPKM. Disarankan pihak gedung untuk pake hampers. Terpaksa lagi tamu dikurangin bener bener keluarga aja :),1
101,"Mapel baru
PPKN jadi PPKM
PSPB jadi PSBB",2
102,"PPKM Mikro atau bahkan darurat sekalipun membutuhkan contoh dan tauladan.

Kalau rakyatnya diminta disiplin pemerintahnya juga. TKA China jangan boleh datang lagi. 

Kenapa yg ditunjuk Si LBP yg juga biangnya masuk TKA China dan India.Tak sebanding untung dg ruginya.",1
103,"Ngedit video ini sambil nangis. 

Doaku pagi di #JumatBerkah ini. 
Smoga Indonesia membaik. Ayo dukung PPKM pemerintah dengan tetap di rumah. Jangan keluar dan jalan2 jika nggak penting2 banget.

#laahaulawalaaquwwataillabillah https://t.co/iM5FWwnMy4",3
104,PPKM TAI!!!!! TOLOL BANGET ASLI https://t.co/2Om7KZE273,1
105,@Kimberley20101 Hmmmm...bau- baunya sih sebagian dari pelaksanaan PPKM.,2
106,Ppkm darurat jwa Bali .simak pernyataannya... #LockDown #Jokowi7TahunCukuplah https://t.co/cynIzB8ayw,2
107,@tempodotco Semoga habis PPKM darurat bebas covid dan pakai masker Aamiin #PPKMDaruratJawaBali,3
108,"Oke. Pagi-pagi dapet berita galeri nggak boleh buka dulu selama masa ppkm ini. 
Baik.
Kita kencangkan ikat pinggang, kita maksimalkan dagang online. 

Yok bisa yok.",3
109,"Dingin gini..mau ke pasar buat persiapan ppkm makin males, gomart ud paling bener..😂 tp asa kurang afdol kl ga milih teh.. tp selain dingin takut ktm orang, ahhh pandemi sih..ah https://t.co/M56RSqStQL",1
110,@kompascom Ealaaah....percuma ada aturan PPKM Darurat.....atau punya kepentingan di area wisata tersebut ?? Gak kasian sama Nakes dan dokter ya ?,1
111,"Orang kantor gue ada yang nikah hari ini, ada juga yang nikah minggu depan. Yang nikah minggu ini masih bisa sedikit happy karena belum kena PPKM, lah yang mingdep dia nyewaa gedung utk 300 undangan… uang udah masuk semua… desas desus &gt;100jt. Bye money",1
112,"@NOTASLIMBOY Karena wisata, belanja bukan ritual ibadah.. Kalo ke mesjid, mudik, sholat ied, potong kurban itu yg dilarang.. Makanya PPKM dipasin waktunya sampai 20 Juli, pas Idul Adha..",1
113,"@nxaked Gue di kalimantan nih sekarang, jawa bali kan lg ppkm jd gabisa kesana. Paling pas semester depan baru bisa ketemu",2
114,apa kabar yg enak pagi ini selain PPKM???,2
115,wah  belom ppkm udah dingin gini apalagi kalau udah ppkm ya hm,2
116,Min ppkm darurat perpanjangan SIM gimana ya? @PRFMnews,2
117,@dawil_k @SPlandemic lockdown tanpa bansos sama saja bunuh orang. PSBB tapi gak ada bansos menyebabkan kriminalitas dan perceraian. PPKM tanpa bansos menyebabkan omset usaha berkurang dan demo dimana2. Negara malah ngasih kerjaan buat TKA aseng.,1
118,"Pagi-pagi di telp suruh reschedule flight. Ppkm darurat penerbangan ke jawa bali wajib punya kartu vaksin, sementara ada 1 yang belom vaksin. Jadi, vaksin gak ? Vaksin lah !",2
119,Habis PPKN terbitlah PPKM,2
120,PPKM Darurat menghambat gue nyari duit buat ngelamar dan ngumpulin mahar untuk nikahin si Doi 😌,1
121,"@ariomalv @ainunnajib Tanpa sanksi keras, semua ppkm fafifuwasweswos ga akan ada artinya.",1
122,Selamat pagi. Besok udah weekend Tp mulai ppkm. Sehat sehat ya,3
123,"PPKM Darurat Demi Keselamatan Kita Semua, Menekan Penyebaran Virus Covid19 https://t.co/RBwqC4sFA5",3
124,"Buah dari mereka yg kemarin nekat mudik . Terimakasih telah membawa bencana baru buat kita semua! 

https://t.co/lldz9rdljU: Jabar Lockdown Tingkat RT/RW, Jakarta Bisa Ditutup Total, Berikut Cakupan PPKM Darurat.
https://t.co/rdlF8K8aOa

melalui @GoogleNews",1
125,"Gimana? Siap PPKM nya?
Pasien korona 01-03 kampanye minum jamunya sukses? Mentri yg nyuruh makan nasi kucing gmn kampanyenya? Presiden yg slengekan dan nyepelein gak mau lokdown akhirnya malah bengkak pengeluarannya?
Makanya kalo kerja yg bener cok",1
126,ayo dong giliran udah fix ke malang malah ada ppkm ya Allah 😔,1
127,Haaa Rembang juga PPKM :( https://t.co/EFT7aPLprF,2
128,"@kompascom Mulai rakjel rajelas. Trus buat apa ada kata ""darurat"" di PPKM?! 

hilih",1
129,"Intinya, patuhi PPKM dgn serius sebaga upaya menurunkan kasus.
Kalo masih ada yg bandel ngajakin kumpul, ya ditolak aja.
Covid ini bukan main2.
Butuh kerja sama semua pihak mulai dari warga - nakes - pemerintah dan semua stakeholder💪🏻💪🏻💪🏻",3
130,"PPKM
Peraturan
Pengurangan
Kerja
Masyarakat",1
131,"@Kimberley20101 Kebijakan ini pasti gak jalan, ane sangat yakin, coba aja kita saksikan di lapangan..
Jika PPKM darurat berlaku yang sibuk itu wercok, satpol PP, dan aparat gabungan...

Ini mana gak ada..Bull shit lah..",1
132,Tadi liat di tv pengumuman aturan PPKM Jawa-Bali tapi ga kedengeran Bandara Internasional ditutup…🤔,1
133,"@KAI121 
Selamat pagi min, untuk penumpang KA dhoho/penataran selama PPKM darurat 3-20 juli mendatang apa juga harus menunjukkan kartu vaksin?? Terimakasih",2
134,"Udahlah pak
Urus aja ini PPKM
Jangan sampe nanti anda bilang kesalahan kita bersama
Fokus pak, jangan sampe ada pejabat lu yg korupsi

Presiden nya situ kan?? Menteri rasa Presiden https://t.co/kePIIXrg9t",1
135,"PPKM

Sekolah online, belanja online, ga bales chat padahal online",2
136,"@mata_sepasang Ketika PPKM Darurat dilaksanakan, dan ternyata tka cayna berbondong bondong masuk, disitulah semakin terlihat betapa rakyat benar2 menjadi tamu di negaranya sendiri. Dan istana adalah kacung cayna..

#DukungMahasiswaRevolusi
#DukungMahasiswaRevolusi",1
137,Hay @KAI121 apakah sudah ada persyaratan terbaru karena adanya PPKM Darurat?,2
138,"@AdhieMassardi Setuju banget Pak Adhie 👍
Yg kita ngga punya itu leadership. Bukti paling gampang adl menyerahkan pelaksanaan PPKM darurat ke orang lain. Itu sebenarnya hanya menutupi ketidakmampuannya aja.
Sialnya yg dikasih mandat orang yg bisanya ngancam suruh nurut. Kan ngehe.",1
139,KA DOHO PENATARAN selama ppkm  ga beroprasi ya min? @KAI121,2
140,"Ppkm ini ada wfh enak kali ya, bisa bangun siang sama gak ketemu macet pagi sore",3
141,"@AngkasaPura_2 halo, selamat pagi, mohon informasi detil untuk tes swab yang akan digunakan saat PPKM 2-20 Juli 2021, untuk penerbangan ke Jawa dan Bali.
Terimakasih.",2
142,"Assalamu'alaikum. Selamat pagi. Ayo kita sukseskan PPKM Darurat untuk lawan Covid-19 dgn disiplin Memakai Masker, Menjaga jarak dan Mencuci tangan. https://t.co/YAiB0V0HJq",3
143,"Jokowi Resmikan PPKM Hingga 20 Juli, Demokrat: Itu Kan Idul Adha, Pakdhe Ini Memang Hobinya Ribut dengan Umat Islam! https://t.co/0CuE160e5D",1
144,Ayo Dukung PPKM https://t.co/uFL7WqffFA,3
145,Kita lihat aktualnya PPKM darurat.,2
146,"@CommuterLine Kalau bisa nih min, KA lokal purwakarta - cikarang, selama ppkm darurat dibatalkan saja perjalanan nya. Untuk mengurangi mobilitas penumpung dari 3 kabupaten yang menerapkan ppkm darurat.",2
147,"Jawa yang parah, Bali jg kena dampaknya PPKM. Lombok dll kemana? emang bukan Indonesia?",1
148,Ppkm tidak fair,1
149,"Baru saja Presiden Jokowi mengumumkan PPKM darurat untuk daerah Jawa-Bali selama 3-20 Juli 2021.
Opsi ini dipilih pemerintah karena sudah terbukti beberapa bulan lalu, ketika pembatasan diberlakukan, maka penurunan kasus corona juga terjadi.

Stay Safe, Stay Healthy. https://t.co/edCId9n8IO",3
150,"Semua ada hikmahnya,Alloh takdirkan acara diundur ke tgl 25 juli. Ppkm berlaku dan di perketat,smoga covid segera memvaik dan musnah,acara pun Alloh mudahkan.",3
151,ppkm program apaan dah?,2
152,ppkm ini membunuhku,1
153,"@PatubMbel Wes ta rek manut o pemerintah,selama psbb ppkm wingi lak enak beras karo kebutuhan hidup di tanggung ....... Dewe",3
154,"LALU APA YANG HARUS KITA LAKUKAN JIKA KRITIK YANG MENYERTAI FAKTA DILAPANGAN DIANGGAP BASI DI TELINGA SANG PENGUASA!!

Selamat Berjuang, makan pagi,siang,malammu tidak di tanggung pemerintah 🔥 PSBB VARIAN BARU = PPKM 👌🏻

Pak De 5 periode gaasss 👍🏻 https://t.co/W5mvgq9FKR",1
155,"KSTP sangat kejam terhadap warga sipil asli Papua. Segera tangkap para pelaku, agar saudara2 kami yang di Papua hidupnya aman dan damai. PPKM Bentengi Negeri https://t.co/WZjLodlNFV",1
156,"Lagi pengen ngopi, tapi ntar ada PPKM 😭",2
157,"PPKM dimulai ~
Balik tidur nggak !?",2
158,"@TMCPoldaMetro Mohon info, sabtu ini selama ppkm ketat jawa bali, apakah perpanjangan stnk masih buka? Pajak stnk saya habis tgl 7 juli. Trims",2
159,"Meningkatnya angka covid-19 membuat kebijakan PPKM menjadi skala darurat yang akan diperpanjang dari tanggal 3 hingga 20 Juli di wilayah Jawa Bali
#TaatPPKMDarurat
Disiplin perketat prokes https://t.co/s4nL4zLI2u",3
160,"PPKM Bentengi Negeri

 Mahkamah Agung (MA) memutuskan tes wawasan kebangsaan (TWK) untuk calon Pegawai Negeri Sipil (CPNS) sah dan konstitusional
https://t.co/tZIgH2Tgmd",1
161,"@IvoneHall Iya ce smoga smua sehat2 sj ya....🙏🙏🙏 , Hri ini sdh mulai PPKM ketat di Tangerang....mudah2an bsa menekan angka penularan Covid",3
162,"Awas, Cek Penyesuaian Operasional dan Layanan Bandara AP II Selama PPKM Darurat Jawa - Bali https://t.co/UwK6DECalI",2
163,"Pgnnya jalan2, tpi PPKM",1
164,"@VIVAcoid Nekat keluar saat ppkm ,sepeda motor/mobil saya kandangkan",1
165,PPKM ato PPKN,2
166,PPKM pagi pagi kangen mbake,2
167,"@febridiansyah Kecoak demokrasi yang kerjanya menjijikan.
Lemah sekali dia sebenarnya
Selamat menikmati liburan ppkm darurat covid 19.",1
168,"Hari pertama ppkm darurat,pagi pagi bukannya nyantai kaya biasa malah ada meeting,mana meetingnya drivethru wkwk https://t.co/gkKnZQRN4k",2
169,"Hari pertama pemberlakuan PPKM darurat di kota solo, pagi ini terpantau lengang dan tidak sepadat seperti sebelum adanya pandemi ini.ada 4 mall yang ada di kota solo di tutup sementara selama PPKM darurat, yakni solo grand mall, solo Paragon,solo square dan mall Robinson.",2
170,"Pemberlakuan PPKM darurat khusus wilayah Jawa Bali akan mulai dilaksanakan mulai tanggal 3 Juli hingga 20 Juli 2021
#TaatPPKMDarurat
Disiplin Perketat Prokes https://t.co/LNuct6hes2",3
171,Di butuhkan aparat Pemda DKI yang benar2 tegas dalam menjalankan PPKM,3
172,"Ppkm darurat, untuk #dirumahaja , @IndiHome buka semua channelnya dong kaka, biar makin anteng di rumah",2
173,@PT_Transjakarta min mohon info selama ppkm darurat rute 7c bkn-cibubur beroperasi engga ya? Terimakasih min,2
174,"Rakyat dipenjara, tka komunis cina menyerbu dan menyebarkan virus. jadi buat apa PPKM gratis diberlakukan? https://t.co/W4i0uJZCjm",1
175,"@CommuterLine mimin, kereta jadwal terakhir selama ppkm ini, dari tanah abang tujuan rangkas bitung jam berapa ya?",2
176,"Semoga PPKM ini beneran efektif, ngurangin kasus covid di indo 🙏",3
177,"@ditaskr Seriusan? Soalnya lagi ppkm, mobil plat B takut disuruh balik😂",1
178,"KMARIN BLGNYA GA BKAL IKUT PPKM SKRG MALAH TBA2 BILANG NURUT PAS UDA H-BEBERAPA JAM
DIKIRANYE TMPAT WISATA BISA ASAL TUTUP AJA KYK DAGANG KELONTONG APA ???
DAH LAH UDH CAPEK DNGER PEMERINTAH",1
179,@gnsrrrr @Ayukboneka simulasi menjalani ppkm kak,2
180,"Pagii !
PPKM dimulai nih, Tidur lagi aja ya ~

#dirumahaja",2
181,Day 1 ppkm https://t.co/vwqH2XBRmq,2
182,"@azwarhadi Kalau ppkm ga bisa masuk jakarta apa dek?

Tinggal swab antigen aja bukannya?",2
183,KKL i belum diapprove tapi udah dipending karena PPKM 😌👌,1
184,"Selamat pagi PPKM
""Pengen peluk kamu manies"" 💓",2
185,"Pemerintah resmi menetapkan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat di Jawa dan Bali, yang berlaku selama dua minggu, mulai 3-20 Juli 2021. Dimulai hari ini, yuk bisa yukk menurunkan kasus aktif ..
https://t.co/ro5af0rS7m",3
186,ini kelar PPKM fix gua jadi pro gamers sih 😅,2
187,Akibat #PPKM akses kampus sangat ketat,1
188,@arusbaik_id PPKM  diberlakukan dari tanggal 3 s/d 20 Juli 2021 #Giveaway  #QuizTerbaikArusBaik  @gracesatun  @mincemamahoki  @ucyicy11  @putoricindy  @ryanti1234,2
