,raw,processed,label
20,"Betul banget 👍
Keputusan pemerintah memperpanjang PPKM level 4 sudah tepat

Namun,Tentu nya Agar kebijakan ini efektif, masyarakat harus terus disiplin menjalankan protokol kesehatan yaa kan ??

Yok tetap taat Prokes Gaes..
#PPKMDemiPemulihanNKRI

https://t.co/KfBoDw7wU4",betul banget keputusan pemerintah memperpanjang level tepat nya kebijakan efektif masyarakat terus disiplin menjalankan protokol kesehatan ya yuk tetap taat prokes guys,2
21,"@Persuasi_id Poin ke 20, ada kata2 pembatasan berakhir apabila tercapai 5 parameter dalam 23minggu berturut, artinya akhir tahun baru ppkm berakhir https://t.co/k55VLp59j2",poin kata pembatasan berakhir tercapai parameter minggu berturut artinya akhir tahun baru berakhir,1
22,@gariegowin @lowkyjessy Hey ppkm masihan wkwk,hai masihan wkwk,1
23,"@tempodotco Rakyat kurus mikirin presiden nya sudah disuruh PPKM diem di rumah di kasih makan kagak,..",rakyat kurus memikirkan presiden nya disuruh diam rumah kasih makan,0
24,"PPKM di Indonesia tapi aku ikut merasakan, karena dengan adanya PPKM ibuku gga bisa jualan, @jokowi @ganjarpranowo kenapa keluargaku gga dapat bantuan, padahal kami golongan menengah kebawah loo, kalo gga jualan mau makan apa pak??",indonesia ikut merasakan ibuku jualan keluargaku bantuan golongan menengah kebawah loh jualan makan pak,0
25,PPKM bikin sepi jualan juga 😔,sepi jualan,0
26,"ini sumpah pantat gua bakal menyatu sama kasur , tangan gua melebur di meja lipet jari stuck di keyboard kalo ppkm ga kelar kelar anj. https://t.co/NgVb7G63yX",sumpah pantat bakal menyatu kasur tangan melebur meja lipet jari stuck keyboard kelar kelar anjing,0
27,"@lyydly Calm, habis ppkm hura² sampe loss doll😂",calm habis hura doll,2
28,"@chitaglorya Iya kak Chita
Sangat terbantu sekali dengan adanya GA
Apalagi di saat PPKM gini...
Pokoknya semangat terus...
Semua kulakukan demi kebahagiaan keluarga
Demi mencukupi kebutuhan
Niat yg baik insyaallah dipermudah.
Semangat 💪

Love kak Chita 💕",iya kak chita terbantu pokoknya semangat terus kulakukan kebahagiaan keluarga mencukupi kebutuhan niat baik insyaallah dipermudah semangat love kak chita,2
29,"[bgr] mau nanya, ada yang pernah naik krl pas ppkm? Nanti aku mau nanya2, makasih yaaa",bgr tanya naik krl pas tanya terima kasih iya,1
30,"#TetapWaspadaCovidMasihAda , PPKM dan vaksinasi adalah upaya pemerintah tuk tekan laju lonjakan kopit. Ayo bantu para nakes dgn ikut vaksin dn taati prokes 5m https://t.co/BfZac1CMGP",vaksinasi upaya pemerintah untuk tekan laju lonjakan kopit ayo bantu tenaga kesehatan ikut vaksin taati prokes,2
31,Stop giring opini yg tdk benar. PPKM Rakyat sehat https://t.co/niZnUxsJcI,stop giring opini benar rakyat sehat,2
32,@anakbaliwots Nnti deh klo udh ga ppkm soalnya gw Maennya di komputer temen gw,deh udah soalnya maennya komputer teman,1
33,"#TolongPatuhiAturanPPKM
Tuips, yuk kita patuhi aturan PPKM Darurat agar kita semua terlindung dari Virus KOVID-19. Langkah kecil yg kita lakukn akn berarti besar krn ikut andil dlm menghambat penyebaran virus. Kalau kita selalu disiplin pasti resiko tertular juga semakin kecil. https://t.co/PUHtTtU9HZ",tuips yuk patuhi aturan darurat terlindung virus kovid langkah lakukn berarti besar ikut andil menghambat penyebaran virus disiplin resiko tertular,2
34,Yuk dukung PPKM demi menekan angka penularan covid https://t.co/0soaXd7SCT,yuk dukung menekan angka penularan covid,2
35,"@EnggalPMT Akhirnyaaaaaa.. Tujuan akhir hampir trcapai,,,
Dan apkh mgk ini misi d perpanjangnya trus menerus ppkm?",tujuan akhir trcapai apkh misi perpanjangnya terus menerus,1
36,"Dukung PPKM LV4, walau berat keputusan ini harus di ambil, untuk menekan penyebaran Covit, walau pahit kita harus lakukan, demi kesehatan rakyat 

#RedamPandemiJagaNKRI https://t.co/4K3FCMX7U4",dukung lv berat keputusan ambil untuk menekan penyebaran covit pahit lakukan kesehatan rakyat,2
37,"Makanny juga jd ngikut anjuran ppkm, 20menit😅",makanny jadi ikut anjuran menit,1
38,Nasibbb apa yang bisa aku lakukan untuk keluarga kecil ku bola GK jalan n kerja liburrrrr terus menerus ppkm https://t.co/Mn28zG6emV,nasib lakukan untuk keluarga ku bola gak jalan kerja libur terus menerus,0
39,"Presiden Jokowi Tambah Bansos saat PPKM Level 4. https://t.co/Tia4JaxDyj
Jokowi Merawat Indonesia",presiden jokowi tambah bansos level jokowi merawat indonesia,2
40,"Di masa perpanjangan PPKM ini..
Semoga sodara""...teman"" atau warga masyarakat yg msh jalani isoman bs makin sabar...tabah...taqwa...tawakal...ta'dzim...tawadzu' dan istiqomah dlm beribadah...Aamiin YRA💪💪💪 https://t.co/ejGl9iRWav",masa perpanjangan semoga sodara teman warga masyarakat jalani isoman sabar tabah taqwa tawakal ta dzim tawadzu istikamah beribadah amin yra,2
41,Ke stasiun jam 6. Kirain PPKM dah longgar. https://t.co/xZ8cIEzajH,stasiun jam mengira longgar,0
42,"@bertanyarl Semangat ya nder, semoga setelah ppkm jualannya laris",semangat iya brother semoga jualannya laris,1
43,"Bismillah semoga hari ini daper kabar bigwinnn, mau kekampus buat validasi huhuhu ppkm diperpanjang lagi semoga kampus ga tutup...",bismillah semoga hari daper kabar bigwin kekampus validasi huhuhu diperpanjang semoga kampus tutup,1
44,"Dasco: Mari Kita Dukung Perpanjangan PPKM, Ini Demi Keselamatan Rakyat!
https://t.co/M6pzK2wPvC Satu NusaBangsa Indonesia",dasco mari dukung perpanjangan keselamatan rakyat satu nusabangsa indonesia,2
45,@Mahmudword @trainveller @AlissaWahid Iya kak. Mata pencahariannya juga terbatas banget. Rata rata pengamen jalanan yang kucing kucingan sama aparat. Kalau ppkm begini gak bisa apa apa. Belum lagi rata rata gak punya keluarga.,iya kak mata pencahariannya terbatas banget rata rata pengamen jalanan kucing kucingan aparat rata rata punya keluarga,0
46,@niasnpr AAAAAAAA iya setujuuu 😭😭 dia tuh makin ke ending makin sweet 😭😭 Betollll wkwk gakan bosen ppkm klo di rumah junghyun semua wkwk,iya setuju ending sweet betol wkwk tidak akan bosan rumah junghyun wkwk,1
47,Yang lain pada ngundur acara pas ppkm eh ini sii juyy tolol malah ngadain acara birthday.,ngundur acara pas eh sih juyy tolol mengadakan acara birthday,0
48,ppkm ayo cepetan kelar aku kangen mcd 24 jam yang mengisi malem malem laper ku😩,ayo cepatan kelar kangen mcd jam mengisi malam malam laper ku,1
49,Capek sama PPKM dan PSBB #PakdeMundurSaja,cape psbb,0
50,PPKM membuat kita susah cari duit,membuat susah cari duit,0
51,"@_ekokuntadhi Loe udah nyoba naik kendaraan Umum slama PPKM ? Supir angkot ngeluh sepi .Lagian kendaraan Umum bukan bus aja ,Kalo mau nyaman  bisa naik taksi . Gak punya duit naik Ojol sekalian kasih rezeki. @jokowi cape Mikirin corona eh elo malah ngajarin gak bener.",mencoba naik kendaraan umum supir angkot ngeluh sepi kendaraan umum bus nyaman naik taksi punya duit naik ojol kasih rezeki lelah memikirkan corona eh lo mengajari benar,0
52,"@henrysubiakto EHHH SEKALI LG YA GW KASIH TAU... LO ITU KERJA DIGAJI OLEH UANG RAKYAT TAPI KERJAAN LO CUMA NGETWEET MOJOKIN RAKYAT ... LO PAKE AKAL PIKIRAN SBG MANUSIA SAMPAI SAAT INI AJA PPKM DARURAT RAKYAT SDH KAYAK TAHANAN, TAPI TKA CHINA MASUK BEGITU JUGA DULU ORANG2 INDIA MASUK BAWA DELTA.",eh iya kasih tahu kerja digaji uang rakyat pekerjaan ngetweet mojokin rakyat pakai akal pikiran manusia darurat rakyat tahanan tka china masuk orang india masuk bawa delta,0
53,yaallah ppkm gausah diperpanjang lagi plis,ya allah tidak usah diperpanjang plis,1
54,"@Febyff1 @AREAJULID Waduh kalo diperpanjang, PPKM (pelan-pelan kita mati) 😭😭",diperpanjang pelan pelan mati,0
55,"Agar terhidari dari C_19 patuhi PPKM.Dan tetap jaga jarak,jaga jarak sama mantan ajh kamu bisa moso sama wabah ga bisa 😁

Semangat pagi 
Semangat meningkatkan imun 😊 https://t.co/4kTCjz9ZlJ",terhidari patuhi tetap jaga jarak jaga jarak mantan masa wabah semangat pagi semangat meningkatkan imun,2
56,"@tempodotco Malulah kalau nangis juga harus diumbar. Coba lihat brp banyak rakyat menangis kesusahan saat PPKM berjilid2. Jalan ditutup terpaksa putar cari jalan lain, hingga jdi macet dijalan2 kecil. Kebijakan yg msih dipertanyakan kemanfaatannya. bnyak yg jd ssah dan nangis.",malulah menangis diumbar coba lihat rakyat menangis kesusahan berjilid jalan ditutup terpaksa putar cari jalan jadi macet dijalan kebijakan dipertanyakan kemanfaatannya jadi ah menangis,0
57,Tips rawat mobil di masa PPKM agar tetap di kondisi optimal https://t.co/K67JJBW3I6,tips rawat mobil masa tetap kondisi optimal,1
58,Ppkm darurat level 4. Memang dah masuk mode survival ini mah. Hadehh,darurat level masuk mode survival mah hadehh,0
59,"Aku nanya kakakku : eh ppkm dilanjut sampe 16 agustus kah?
Kakakku : sampe kiamat katanya

😭😭😭 https://t.co/4ZfQr3IBuj",tanya kakakku eh dilanjut agustus kah kakakku kiamat katanya,0
60,@Sucisilviaeff Curhat dooong. Ppkm anjiirr,curhat anjiirr,0
61,@AREAJULID lagian yee di tempat gua msh bnyk yg kaga pake masker pas ke masjid. trs 2 hari lalu ngadain nikahan. ga efektif kan? paling cuma beberapa aja yg mau taat sama ppkm. kasian jg yg mo nikah. walaupun bisa sih akad dulu. hufffffttt,ya tempat pakai masker pas masjid terus hari mengadakan nikahan efektif taat kasihan nikah sih akad mengeluh,0
62,@tvOneNews Sdh ppkm cari duit susah makan pun susah ...eh ini ..,cari duit susah makan susah eh,0
63,"PPKM masih aja trending yah beberapa hari ini

https://t.co/fnliCQ0BON",trend ya hari,1
64,"Minus di broke up sm ppkm yg bikin jadwal kerja banyak di cut aj si,tp scr ga langsung di cutnya jadwal bkin bnyak waktu buat produktif jg 😌",minus broke up jadwal kerja cut aja sih secara langsung cutnya jadwal bikin waktu produktif,1
65,"PPKM   - Patuhi Prokes Kenakan Masker. 
https://t.co/lbfWWIMW7j",patuhi prokes kenakan masker,2
66,Siap ppkm sebulan nih https://t.co/9Um5LCCnFo,siap sebulan,2
67,"@SYandrilee Kemaren nyari kerja udah susah, sekarang yg udah kerja malah kena PHK, mana yg jualanpun yg mungkin juga punya karyawan yg Di mana anak² mereka menantikan gaji harian buat Beli beras Dengan alasan PPKM dilarang.",kemarin mencari kerja susah kerja kena phk jualanpun punya karyawan anak menantikan gaji harian beli beras alasan dilarang,0
68,"20 TKA China Masuk Sulsel Saat PPKM Darurat, Imigrasi Mengaku Tidak Tahu https://t.co/cjAfQ9wbwI",tka china masuk sulsel darurat imigrasi mengaku tahu,0
69,@bogorfess_ Lagi ppkm gini terus disempetin buat ngedate aja udah aneh,terus disempetin ngedate aneh,0
70,"Jika PPKM diperpanjang dan hasilnya sama aja, apakah dilanjutkan dengan babak extra time?",diperpanjang hasilnya dilanjutkan babak extra time,1
71,"Kreativitas Trenggalek untuk jalankan Protokol Kesehatan ketika masa PPKM Darurat👍

Konten dari: @Lantas_TGalek &amp; @1trenggalek 

#Trenggalek
#Covid_19 
#AyoVaksin https://t.co/LYfAYUax2B",kreativitas trenggalek untuk jalankan protokol kesehatan masa darurat konten amp,2
72,bertanya pada diri sendiri pada saat lockdown akibat corona ft ppkm lvl lvl an https://t.co/wVC8au8JmK,bertanya lockdown akibat corona ft lvl lvl an,1
73,"@Aslipriok1973 @RiuRizkiUtomo_ @cagubnyinyir2 @Bnie18 Malaysia adalah contoh pemerintahannya berdaulat dan berkuasa dg hukum. Siapa pun yg melanggar aturan pasti diproses hukum. Jangankan teriak ke pemerintah, sholat Ied aja ditangkap. Itulah hukum.

Di +62 angg @DivHumas_Polri yg  jaga mesjid wkt PPKM dikerubuti warga, lgs CIUT...",malaysia contoh pemerintahannya berdaulat berkuasa hukum melanggar aturan diproses hukum teriak pemerintah sholat ied ditangkap hukum angg jaga mesjid waktu dikerubuti warga langsung ciut,0
74,ini makin ke belakang PPKM direvisi terus dan makin kaya di lockdown dah😫,belakang direvisi terus kayak lockdown,0
75,"@binnafahrianim Daring terus cape bun, padahal dari agustus 2020 - juni 2021 kemarin dah masuk. Skrg ppkm jadi daring :(",online terus lelah bun agustus juni kemarin masuk jadi online,0
76,@Bang_Garr Alhamdulillah dapat tunjangan PPKM dari @Bang_Garr  semoga berkah di hari Jum'at penuh berkah....aamiin,alhamdulillah tunjangan semoga berkah hari jum at penuh berkah amin,2
77,"Minggu yang Cerah, tetap semangat meski PPKM https://t.co/V2WgSyolM6",minggu cerah tetap semangat,2
78,"Lagi tren ramai2 pasang bendera putih untuk menandakan menyerah pada kondisi.

Kalau saya lebih khawatir bila PPKM ditiadakan dan kondisi dibebaskan begitu saja seperti kondisi normal akan bermunculan lebih banyak BENDERA KUNING. https://t.co/wu9UowKT8e",trend ramai pasang bendera putih untuk menandakan menyerah kondisi khawatir ditiadakan kondisi dibebaskan kondisi normal bermunculan bendera kuning,0
79,"berkat ppkm😁👍
kalo gk ada ppkm pasti gk begini
soalnya biasanya langit pagi-pagi udah penuh polusi sampe 24/7 polusi terus https://t.co/YXQ4UjaF1U",berkat gak gak soalnya langit pagi pagi penuh polusi polusi terus,2
80,"@alyngcavalera @midiahn Ppkm darurat g dikasih uang, lokdon dikasih uang cmiiw",darurat dikasih uang lokdon dikasih uang correct me if i'm wrong,0
81,"gabisa nonton black widow gara"" ppkm is another level of pain",tidak bisa menonton black widow gara is another level of pain,0
82,"Salah banget emang ninggalin laptop di kantor tuh. Sekarang PPKM diperpanjang, kaga bisa ke kantor, di rumah kaga bisa kerja krn laptop di sana. Obat jg ketinggalan 😂😂😂",salah banget meninggalkan laptop kantor diperpanjang kantor rumah kerja laptop obat ketinggalan,0
83,"Sepertinya harus Uda @iwanpiliang7 yang mengingatkan bliau, beda ppkm &amp; lockdown versi uu karantina...
Astaghfirullaah...🤦‍♂️ https://t.co/6PvdvHwMq6",mengingatkan bliau beda amp lockdown versi uu karantina astaghfirullaah,0
84,"@Pai_C1 Bukankah ppkm darurat masih berlaku? 
Banyak yg melangar prokes.. 
🤔 @DivHumas_Polri @ridwankamil  @LuhutBinsarFans",darurat berlaku melangar prokes,0
85,"Aku: niat berhemat selama PPKM.
Shopi dan Lajadah: hold my 7.7 sale.",niat berhemat shopi lajadah hold my sale,1
86,"Gakerasa PPKM dah lewat. Kangen offline, tapi PPKM masih dapet updatean https://t.co/HiWte8xc1p",gakerasa lewat kangen oflen updatean,1
87,"Alhamdulillah...
🙏🏿🙏🏿🙏🏿🙏🏿🙏🏿
Pantas sj @AnnisaPohan pun buru buru gembok akunnya
Rupanya itu adl 1 wujud dr mendukung pemerintahan @jokowi 
Salam sehat selalu utk @RachlanNashidik &amp; kel
Jg utk semua kader @PDemokrat termasuk pengelolanya
Terimakasih atas kedisiplinan PPKM &amp; prokes https://t.co/z2XhrIiZ6t",alhamdulillah buru buru gembok akunnya wujud mendukung pemerintahan salam sehat untuk amp kelurahan untuk kader termasuk pengelolanya terimakasih atas kedisiplinan amp prokes,2
88,"Assalamualaikum wr wb
Met pagi warga TL met beraktivitas tetap disiplin prokes, taati PPKM, segera Vaksin tetap Semangat dg MERAH PUTIH🇲🇨🇲🇨🇲🇨✊✊✊ https://t.co/dK1MqI9IdR",menjadi seseorang alamualaikum wr wb selamat pagi warga timeline selamat beraktivitas tetap disiplin prokes taati vaksin tetap semangat merah putih,2
89,"Wahai kalian, siapapun kalian yang isi kepala dan hatinya terus memprovokasi warga untuk melawan aturan PPKM Darurat ini, tolong berhentilah 2 minggu saja jd iblis. Tolong berubah jd malaikat, himbau warga ini dirumah saja, patuhi anjuran pemerintah..!

 https://t.co/abPqUGajp2",isi kepala hatinya terus memprovokasi warga untuk melawan aturan darurat tolong berhentilah minggu jadi iblis tolong berubah jadi malaikat himbau warga dirumah patuhi anjuran pemerintah,2
90,"#RedamPandemiJagaNKRI 
Dukung dan Patuhi aturan PPKM level 4 https://t.co/ezCXoTKTEC",dukung patuhi aturan level,2
91,semenjak ppkm paket gue pada lama semua datangnya!!!😡,semenjak paket datangnya,0
92,"Imbas PPKM dan tetek bengek lainnya tidak bisa ke mana-mana. Hikmahnya lebih banyak waktu buat keluarga, hobi, dan istirahat.",imbas tetek bengek hikmahnya waktu keluarga hobi istirahat,2
93,@hello_fika Alhamdulillah semoga angka covid semakin menurun drastis dengan perpanjangan ppkm ini ya,alhamdulillah semoga angka covid menurun drastis perpanjangan iya,2
94,PPKM it is mean Plis Pengen Kopitnya Mati!!!,is maksud plis kopitnya mati,2
95,Bupati dan wakil bupati kabupaten Lumajang tidak ambil gaji sejak ppkm darurat disumbangkan utk rakyat 🙏🇲🇨,bupati wakil bupati kabupaten lumajang ambil gaji darurat disumbangkan untuk rakyat,2
96,"Pandegalng-bintaro 
Ketika kuliah normal aja kesusahan sekrang ditambah dengan PPKM, kesusahan itu semakin membuat saya depresi.

Brangkat dari rumah yang biasanya ke stasiun 1 jam kini harus 2 jam perjalanan karena harus ke stasiun cikoya yang letaknya di tanggerang. https://t.co/4z5ah4rz4k",pandegalng bintaro kuliah normal kesusahan ditambah kesusahan membuat depresi brangkat rumah stasiun jam jam perjalanan stasiun cikoya letaknya tanggerang,0
97,Salah satu cara untuk mencegah penularan virus covid19 maka pemerintah memberlakukan kebijakan PPKM Darurat #PPKMDaruratSolusiTepat https://t.co/wMG3UKcHyc,salah satu cara untuk mencegah penularan virus covid pemerintah memberlakukan kebijakan darurat,2
98,"selama ppkm apalagi raya kemarin ga kontrol bangett di bb, sampe mau liat timbangan ogah ogahan ihhh",raya kemarin kontrol banget bb lihat timbangan tidak mau ogahan ih,0
99,@ikhwalyakub @radenrauf Udh bilang tapi masih aja ppkm diperpanjang,udah bilang diperpanjang,1
100,"Semua kepala daerah harus melakukan PPKM Darurat, untuk menekan lonjakan kasus Covid-19.
#BahuMembahuAtasiPandemi https://t.co/3BQaS4n0tU",kepala daerah melakukan darurat untuk menekan lonjakan kasus covid,2
101,"Bima Arya Sugiarto Dukung Perpanjangan PPKM Level 4
https://t.co/yul8Nl6icC Bersama Rakyat",bima arya sugiarto dukung perpanjangan level rakyat,2
102,"@Ritafauzh Kasih ke istri bu @Ritafauzh karena selama PPKM dirmh aja bu WFH. Jd bs bantu2 istri beli kebutuhan rmh jg untuk keperluan anak saya.
Kan saya juga ingin seperti papah gula @sherpa701 yg bertanggung jawab trhdp bidadari surga nya",kasih istri bu dirumah bu wfh jadi bantu istri beli kebutuhan rumah untuk keperluan anak papah gula bertanggung jawab trhdp bidadari surga nya,2
103,"Dari probolinggo skrg di jaktim gaesss.. paketnya dari jakbar tujuan bandung, tapi ke probolinggo dulu skrg ke jaktim. Kalah gw dari si paket, gw diem2 dirumah bae dia malah jalan2 ppkm gini https://t.co/hd4HkHaRmC",probolinggo jaktim guys paketnya jakbar tujuan bandung probolinggo jaktim kalah sih paket diam dirumah bae jalan,0
104,"@nameisnoval Anak anjing, udh tau ppkm pake kumpul, mana pada gabawa masker. Emg lo pada sebelum kumpul, udh pada swab tes? Muke gada yang cakep sok iye, bye cakepan juga mutualan gua",anak anjing udah tahu pakai kumpul gabawa masker kumpul udah swab tes muka tidak ada cakep sok iya bye cakepan mutualan,0
105,Sedih bgt kalo sampe nanti Peringatan Hari Kemerdekaan ga ada perayaan apa-apa karena pandemi dan ppkm :(,sedih banget peringatan hari kemerdekaan perayaan pandemi,0
106,@bareksacom Mantap bisa terbang gini lagi ppkm,mantap terbang,1
107,"@detikcom Kan sudah dikasih tau kemarin, selama PPKM darurat dilarang gowes, koq ngeyel ya..",dikasih tahu kemarin darurat dilarang mengayuh sepeda ngeyel iya,0
108,"Woww keren, ppkm nya berhasil https://t.co/L0PgUyOs1I",wow keren nya berhasil,2
109,"@shanwroo oalaahh artinya nanti habis ppkm bisa aja masuk sekolah offline yaa,, bagus dehh semangat belajarnya yya ashaa,, btw maaf baru rep😭",oalaahh artinya habis masuk sekolah oflen ya bagus deh semangat belajarnya ya ashaa ngomong-ngomong maaf baru rep,2
110,"@Askrlfess Ak katolik gereja biasanya jam setengah 8 beres nya kurleb jam 9an. Tp skrg lg online gara2 ppkm

Kalau yg kristen kurang tau, biasanya lebih lama sih",katolik gereja jam setengah beres nya kurleb jam an onlen gara kristen kurang tahu sih,1
111,"Alhamdulillah..

Perpanjangan PPKM Level 4 ternyata memberikan hasil positif. Yakni angka kasus Covid-19 di Jawa dan Bali sudah mulai melandai.

Tetap taati protokol kesehatan ya, sobatku semua di seluruh Tanah Air.
https://t.co/KTBv20w9Mn
#TetapWaspadaCovidMasihAda https://t.co/zbp08ljWCb",alhamdulillah perpanjangan level ternyata memberikan hasil positif angka kasus covid jawa bali mulai melandai tetap taati protokol kesehatan iya sobatku tanah air,2
112,"Ajakan Aksi Tolak PPKM Menyebar di Yogya, Polisi: Bisa Perparah Keadaan!

Pada dasarnya unjuk rasa tidak dilarang. 
Tapii mbok ya jangan egois,
di Yogya kasus Covid-19 masih tinggi lho
Nanti malah memperparah keadaan 🤦‍♀️

#TolakDemoPerparahPandemi
https://t.co/whK3fP1bSk",ajakan aksi tolak menyebar yogya polisi perparah keadaan dasarnya unjuk rasa dilarang mbok iya egois yogya kasus covid tinggi lho memperparah keadaan,2
113,Dengan adanya ppkm ini mencoba trading dari 140rb semalam dapat segini :) mulai open mind! Money management harus kuat! Hehe temen-temen mungkin ada yang maen gak? ✌️ https://t.co/MS4N7qnZJL,mencoba trading ribu semalam segini mulai open mind money management kuat he teman teman main,1
114,@jokowi Mhn maaf Bpk presiden yg sy hormati.. Maaf melenceng dari judul. Di masa PPKM yg panjang ini kami tidak dapat kerja. Berjualan namun sepi pembeli. Apakah tidak ada bantuan ke rakyat pak?,mohon maaf bapak presiden hormati maaf melenceng judul masa panjang kerja berjualan sepi pembeli bantuan rakyat pak,0
115,"kalo psbb/ppkm diprotes ya buka aja, stop vaksin, stop bansos dll. yg sakit after that biarin aja ga usah diobatin...kan mau mereka seperti itu, bebas...sak geleme dewe 😂",psbb diprotes iya buka stop vaksin stop bansos dan lain-lain sakit that biarkan perlu diobatin bebas sak geleme dewe,0
116,"#BahuMembahuAtasiPandemi
Peyebaran Covid-19 harus cepat diambil tindakan pencegahannya.PPKM Darurat  menjadi sangat penting untuk dijalankan.Seluruh jajaran dan 
Kepala daerah bisa diberhentikan bila tidak menjalankan PPKM Darurat
@jokowi lawan pandemi https://t.co/tB2xrXLCkI",peyebaran covid cepat diambil tindakan pencegahannya darurat menjadi penting untuk dijalankan jajaran kepala daerah diberhentikan menjalankan darurat lawan pandemi,2
117,@otakotakkk Berarti udah selesai PPKM nya qi wkwkw,berarti selesai nya qi wkwkw,1
118,"@aMrazing Lagi pulang kampung koh, malah kena covid sekeluarga, gada tempat isoman harus ke hotel, berhari2 dengan uang terkuras, cari penerbangan pulang susah, syarat banyak krn ppkm, yes, kena mental banget",pulang kampung koh kena covid sekeluarga tidak ada tempat isoman hotel berhari uang terkuras cari penerbangan pulang susah syarat yes kena mental banget,0
119,"Rakyat Butuh Makan Bukan Desinfektan,yo butuh rabi dangdutan barang , PPKM ndek mamup pak @jokowi",rakyat butuh makan desinfektan iya butuh rabi dangdutan barang mamup pak,0
120,Pada akhirnya negara luar melakukan PPKM terhadap WNI.,negara luar melakukan wni,1
121,"Selamat Senin, selamat hari pertama PPKM 🌼",selamat senin selamat hari pertama,2
